,0
0,https://revealnews.org/podcast/how-a-prison-seven-year-sentence-turns-into-over-100/
1,https://revealnews.org/topic/prisons/
2,https://revealnews.org/podcast/how-a-prison-seven-year-sentence-turns-into-over-100/
3,https://revealnews.org/author/amy-mostafa/
4,https://revealnews.org/author/jimbriggs/
5,https://revealnews.org/author/fernandoarruda/
6,https://revealnews.org/author/jess-alvarenga/
7,https://revealnews.org/author/steven-rascon/
8,https://revealnews.org/author/kathryn-styer-martinez/
9,https://revealnews.org/author/kevinsullivan/
10,https://revealnews.org/podcast/how-a-prison-seven-year-sentence-turns-into-over-100/
11,https://reveal-player.s3.us-west-1.amazonaws.com/818_Reveal_PC.mp3
12,https://revealnews.org/podcast/my-neighbor-the-suspected-war-criminal/
13,https://revealnews.org/topic/accountability/
14,https://revealnews.org/podcast/my-neighbor-the-suspected-war-criminal/
15,https://revealnews.org/author/ikesriskandarajah/
16,https://revealnews.org/author/bmeyers/
17,https://revealnews.org/author/andrew-d-donohue/
18,https://revealnews.org/author/amy-mostafa/
19,https://revealnews.org/author/nikkifrick/
20,https://revealnews.org/author/sarah-mirk/
21,https://revealnews.org/author/jimbriggs/
22,https://revealnews.org/author/fernandoarruda/
23,https://revealnews.org/author/steven-rascon/
24,https://revealnews.org/author/kathryn-styer-martinez/
25,https://revealnews.org/author/jess-alvarenga/
26,https://revealnews.org/author/kevinsullivan/
27,https://revealnews.org/author/shawn-musgrave/
28,https://revealnews.org/podcast/my-neighbor-the-suspected-war-criminal/
29,https://reveal-player.s3.us-west-1.amazonaws.com/817_Reveal_PC.mp3
30,https://revealnews.org/podcast/handcuffed-and-unhoused-2022/
31,https://revealnews.org/topic/housing/
32,https://revealnews.org/podcast/handcuffed-and-unhoused-2022/
33,https://revealnews.org/author/melissa-lewis/
34,https://revealnews.org/author/emily-harris/
35,https://revealnews.org/author/cynthia-rodriguez/
36,https://revealnews.org/author/takitelonidis/
37,https://revealnews.org/author/andrew-d-donohue/
38,https://revealnews.org/author/soo-oh/
39,https://revealnews.org/author/david-rodriguez/
40,https://revealnews.org/author/amy-mostafa/
41,https://revealnews.org/author/sarah-mirk/
42,https://revealnews.org/author/jimbriggs/
43,https://revealnews.org/author/fernandoarruda/
44,https://revealnews.org/author/steven-rascon/
45,https://revealnews.org/author/claire-mullen/
46,https://revealnews.org/author/kevinsullivan/
47,https://revealnews.org/author/al-letson/
48,https://revealnews.org/podcast/handcuffed-and-unhoused-2022/
49,https://reveal-player.s3.us-west-1.amazonaws.com/816_Reveal_PC.mp3
50,https://revealnews.org/podcast/losing-ground-2022/
51,https://revealnews.org/topic/inequality/
52,https://revealnews.org/podcast/losing-ground-2022/
53,https://revealnews.org/author/deborahgeorge/
54,https://revealnews.org/author/amy-mostafa/
55,https://revealnews.org/author/jimbriggs/
56,https://revealnews.org/author/fernandoarruda/
57,https://revealnews.org/author/steven-rascon/
58,https://revealnews.org/author/kathryn-styer-martinez/
59,https://revealnews.org/author/jess-alvarenga/
60,https://revealnews.org/author/kevinsullivan/
61,https://revealnews.org/author/al-letson/
62,https://revealnews.org/podcast/losing-ground-2022/
63,https://reveal-player.s3.us-west-1.amazonaws.com/815_Reveal_PC.mp3
64,https://revealnews.org/podcast/campaigning-on-the-big-lie/
65,https://revealnews.org/topic/voting/
66,https://revealnews.org/podcast/campaigning-on-the-big-lie/
67,https://revealnews.org/author/najib-aminy/
68,https://revealnews.org/author/byardduncan/
69,https://revealnews.org/author/treybundy/
70,https://revealnews.org/author/brettmyers/
71,https://revealnews.org/author/andrew-d-donohue/
72,https://revealnews.org/author/casey-miner/
73,https://revealnews.org/author/amy-mostafa/
74,https://revealnews.org/author/nikkifrick/
75,https://revealnews.org/author/jimbriggs/
76,https://revealnews.org/author/fernandoarruda/
77,https://revealnews.org/author/jess-alvarenga/
78,https://revealnews.org/author/steven-rascon/
79,https://revealnews.org/author/kathryn-styer-martinez/
80,https://revealnews.org/author/kevinsullivan/
81,https://revealnews.org/author/shereen-marisol-meraji/
82,https://revealnews.org/podcast/campaigning-on-the-big-lie/
83,https://reveal-player.s3.us-west-1.amazonaws.com/814_Reveal_PC.mp3
84,https://revealnews.org/podcast/can-our-climate-survive-bitcoin/
85,https://revealnews.org/topic/sustainability/
86,https://revealnews.org/podcast/can-our-climate-survive-bitcoin/
87,https://revealnews.org/author/shereen-marisol-meraji/
88,https://revealnews.org/author/elizabeth-shogren/
89,https://revealnews.org/author/takitelonidis/
90,https://revealnews.org/author/amy-mostafa/
91,https://revealnews.org/author/michael-montgomery/
92,https://revealnews.org/author/nikkifrick/
93,https://revealnews.org/author/sarah-mirk/
94,https://revealnews.org/author/jimbriggs/
95,https://revealnews.org/author/fernandoarruda/
96,https://revealnews.org/author/jess-alvarenga/
97,https://revealnews.org/author/steven-rascon/
98,https://revealnews.org/author/kathryn-styer-martinez/
99,https://revealnews.org/author/kevinsullivan/
100,https://revealnews.org/podcast/can-our-climate-survive-bitcoin/
101,https://reveal-player.s3.us-west-1.amazonaws.com/813_Reveal_PC.mp3
