,0
0,https://80000hours.org/podcast/episodes/spencer-greenberg-social-science/
1,https://80000hours.org/podcast/episodes/leah-garces-chicken-industry/
2,https://80000hours.org/podcast/episodes/sam-bankman-fried-high-risk-approach-to-crypto-and-doing-good/
3,https://80000hours.org/podcast/episodes/carl-shulman-common-sense-case-existential-risks/
4,https://80000hours.org/podcast/episodes/david-denkenberger-sahil-shah-using-paper-mills-and-seaweed-in-catastrophes/
5,https://80000hours.org/podcast/episodes/bruce-friedrich-good-food-institute/
6,https://80000hours.org/podcast/episodes/olsson-and-ziegler-ml-engineering-and-safety/
7,https://80000hours.org/podcast/episodes/robin-hanson-on-lying-to-ourselves/
8,https://80000hours.org/podcast/episodes/holden-karnofsky-most-important-century/
9,https://80000hours.org/podcast/episodes/michelle-hutchinson-habiba-islam-themes-from-careers-advising/
10,https://80000hours.org/podcast/episodes/aj-jacobs-on-writing-reframing-problems-as-puzzles/
11,https://80000hours.org/podcast/episodes/tom-moynihan-prior-generations/
12,https://80000hours.org/podcast/episodes/rob-howie-coronavirus-crisis/
13,https://80000hours.org/podcast/episodes/tom-inglesby-health-security/
14,https://80000hours.org/podcast/episodes/james-forman-jr-cruelty-in-the-us-criminal-legal-system/
15,https://80000hours.org/podcast/episodes/tyler-cowen-stubborn-attachments/
16,https://80000hours.org/podcast/episodes/prof-david-spiegelhalter-on-risk-statistics-and-improving-the-public-understanding-of-science/
17,https://80000hours.org/podcast/episodes/danny-hernandez-forecasting-ai-progress/
18,https://80000hours.org/podcast/episodes/holden-karnofsky-building-aptitudes-kicking-ass/
19,https://80000hours.org/podcast/episodes/jennifer-doleac-reforming-police-preventing-crime/
20,https://80000hours.org/podcast/episodes/owen-cotton-barratt-epistemic-systems/
21,https://80000hours.org/podcast/episodes/matthew-yglesias-pundits-fallacy-military-intervention/
22,https://80000hours.org/podcast/episodes/allan-dafoe-politics-of-ai/
23,https://80000hours.org/podcast/episodes/david-roodman-becoming-a-world-class-researcher/
24,https://80000hours.org/podcast/episodes/owen-cotton-barratt-regulating-risky-research/
25,https://80000hours.org/podcast/episodes/paul-christiano-ai-alignment-solutions/
26,https://80000hours.org/podcast/episodes/tanya-singh-operations-bottleneck/
27,https://80000hours.org/podcast/episodes/david-denkenberger-allfed-and-feeding-everyone-no-matter-what/
28,https://80000hours.org/podcast/episodes/david-wallace-many-worlds-theory-of-quantum-mechanics/
29,https://80000hours.org/podcast/episodes/hilary-greaves-comparing-existence-and-non-existence/
30,https://80000hours.org/podcast/episodes/ben-todd-on-the-core-of-effective-altruism/
31,https://80000hours.org/podcast/episodes/max-roser-our-world-in-data/
32,https://80000hours.org/podcast/episodes/ajeya-cotra-worldview-diversification/
33,https://80000hours.org/podcast/episodes/katja-grace-forecasting-technology/
34,https://80000hours.org/podcast/episodes/phil-trammell-patient-philanthropy/
35,https://80000hours.org/podcast/episodes/the-life-of-a-quant-trader-how-to-earn-and-donate-millions-within-a-few-years/
36,https://80000hours.org/podcast/episodes/stuart-russell-human-compatible-ai/
37,https://80000hours.org/podcast/episodes/chris-blattman-five-reasons-wars-happen/
38,https://80000hours.org/podcast/episodes/greg-lewis-covid-19-global-catastrophic-biological-risks/
39,https://80000hours.org/podcast/episodes/joan-rohlfing-avoiding-catastrophic-nuclear-blunders/
40,https://80000hours.org/podcast/episodes/alexander-berger-improving-global-health-wellbeing-clear-direct-ways/
41,https://80000hours.org/podcast/episodes/russ-roberts-effective-altruism-empirical-research-utilitarianism/
42,https://80000hours.org/podcast/episodes/prof-tetlock-predicting-the-future/
43,https://80000hours.org/podcast/episodes/80k-after-hours-alex-lawsen-advice-for-students/
44,https://80000hours.org/podcast/episodes/glen-weyl-radically-reforming-capitalism-and-democracy/
45,https://80000hours.org/podcast/episodes/peter-singer-advocacy-and-the-life-you-can-save/
46,https://80000hours.org/podcast/episodes/tom-kalil-government-careers/
47,https://80000hours.org/podcast/episodes/will-macaskill-moral-philosophy/
48,https://80000hours.org/podcast/episodes/lutter-and-winter-chater-cities-innovative-governance/
49,https://80000hours.org/podcast/episodes/ambassador-bonnie-jenkins-peace-arms-control/
50,https://80000hours.org/podcast/episodes/audrey-tang-what-we-can-learn-from-taiwan/
51,https://80000hours.org/podcast/episodes/holden-karnofsky-open-philanthropy/
52,https://80000hours.org/podcast/episodes/samuel-charap-why-putin-invaded-ukraine/
53,https://80000hours.org/podcast/episodes/pardis-sabeti-sentinel/
54,https://80000hours.org/podcast/episodes/stefan-schubert-considering-considerateness/
55,https://80000hours.org/podcast/episodes/jaime-yassif-safeguarding-bioscience/
56,https://80000hours.org/podcast/episodes/eva-vivalt-social-science-generalizability/
57,https://80000hours.org/podcast/episodes/varsha-venugopal-vaccinations-children-india/
58,https://80000hours.org/podcast/episodes/leah-utyasheva-pesticide-suicide-prevention/
59,https://80000hours.org/podcast/episodes/brian-christian-the-alignment-problem/
60,https://80000hours.org/podcast/episodes/is-it-time-for-a-new-scientific-revolution-julia-galef-on-how-to-make-humans-smarter/
61,https://80000hours.org/podcast/episodes/lewis-bollard-big-wins-against-factory-farming/
62,https://80000hours.org/podcast/episodes/kelly-wanser-climate-interventions/
63,https://80000hours.org/podcast/episodes/mike-berkowitz-preserving-us-democracy/
64,https://80000hours.org/podcast/episodes/bruce-schneier-security-secrets-and-surveillance/
65,https://80000hours.org/podcast/episodes/brian-christian-algorithms-to-live-by/
66,https://80000hours.org/podcast/episodes/ben-garfinkel-classic-ai-risk-arguments/
67,https://80000hours.org/podcast/episodes/bryan-caplan-case-for-and-against-education/
68,https://80000hours.org/podcast/episodes/depression-anxiety-imposter-syndrome/
69,https://80000hours.org/podcast/episodes/daniel-ellsberg-doomsday-machines/
70,https://80000hours.org/podcast/episodes/arden-and-rob-on-demandingness/
71,https://80000hours.org/podcast/episodes/ofir-reich-data-science/
72,https://80000hours.org/podcast/episodes/chris-olah-interpretability-research/
73,https://80000hours.org/podcast/episodes/kelsey-piper-important-advocacy-in-journalism/
74,https://80000hours.org/podcast/episodes/vitalik-buterin-new-ways-to-fund-public-goods/
75,https://80000hours.org/podcast/episodes/cal-newport-industrial-revolution-for-office-work/
76,https://80000hours.org/podcast/episodes/david-chalmers-nature-ethics-consciousness/
77,https://80000hours.org/podcast/episodes/tara-mac-aulay-operations-mindset/
78,https://80000hours.org/podcast/episodes/martin-gurri-revolt-of-the-public/
79,https://80000hours.org/podcast/episodes/anders-sandberg-extending-life/
80,https://80000hours.org/podcast/episodes/tara-kirk-sell-covid-19-misinformation-performance-reopen/
81,https://80000hours.org/podcast/episodes/toby-ord-the-precipice-existential-risk-future-humanity/
82,https://80000hours.org/podcast/episodes/rachel-glennerster-best-buys-in-international-development/
83,https://80000hours.org/podcast/episodes/helen-toner-on-security-and-emerging-technology/
84,https://80000hours.org/podcast/episodes/jan-leike-ml-alignment/
85,https://80000hours.org/podcast/episodes/chris-olah-unconventional-career-path/
86,https://80000hours.org/podcast/episodes/yew-kwang-ng-anticipating-effective-altruism/
87,https://80000hours.org/podcast/episodes/mark-lynas-climate-change-nuclear-energy/
88,https://80000hours.org/podcast/episodes/michelle-hutchinson-giving-career-advice/
89,https://80000hours.org/podcast/episodes/the-world-desperately-needs-ai-strategists-heres-how-to-become-one/
90,https://80000hours.org/podcast/episodes/anders-sandberg-fermi-paradox/
91,https://80000hours.org/podcast/episodes/we-are-not-worried-enough-about-the-next-pandemic/
92,https://80000hours.org/podcast/episodes/animal-equality-exposing-cruelty/
93,https://80000hours.org/podcast/episodes/marie-gibbons-clean-meat/
94,https://80000hours.org/podcast/episodes/james-snowden-givewell-research/
95,https://80000hours.org/podcast/episodes/andrew-yang-very-long-term-future/
96,https://80000hours.org/podcast/episodes/cassidy-nelson-12-ways-to-stop-pandemics/
97,https://80000hours.org/podcast/episodes/spencer-greenberg-bayesian-updating/
98,https://80000hours.org/podcast/episodes/andy-weber-rendering-bioweapons-obsolete/
99,https://80000hours.org/podcast/episodes/luisa-rodriguez-why-global-catastrophes-seem-unlikely-to-kill-us-all/
100,https://80000hours.org/podcast/episodes/hilary-greaves-global-priorities-institute/
101,https://80000hours.org/podcast/episodes/openai-askell-brundage-clark-latest-in-ai-policy-and-strategy/
102,https://80000hours.org/podcast/episodes/bryan-caplan-parenting-workers-betting/
103,https://80000hours.org/podcast/episodes/beth-cameron-pandemic-preparedness/
104,https://80000hours.org/podcast/episodes/maha-rehman-governments-masks-millions/
105,https://80000hours.org/podcast/episodes/jeffrey-ding-china-ai-dream/
106,https://80000hours.org/podcast/episodes/karen-levy-misaligned-incentives-in-global-development/
107,https://80000hours.org/podcast/episodes/nick-beckstead-giving-billions/
108,https://80000hours.org/podcast/episodes/marc-lipsitch-winning-or-losing-against-covid19-and-epidemiology/
109,https://80000hours.org/podcast/episodes/ben-todd-key-ideas-of-80000hours/
110,https://80000hours.org/podcast/episodes/cass-sunstein-how-change-happens/
111,https://80000hours.org/podcast/episodes/ben-todd-on-what-effective-altruism-most-needs/
112,https://80000hours.org/podcast/episodes/lewis-bollard-end-factory-farming/
113,https://80000hours.org/podcast/episodes/paul-christiano-a-message-for-the-future/
114,https://80000hours.org/podcast/episodes/amanda-askell-moral-empathy/
115,https://80000hours.org/podcast/episodes/samantha-pk-nuclear-security/
116,https://80000hours.org/podcast/episodes/robert-wright-cognitive-empathy/
117,https://80000hours.org/podcast/episodes/tristan-harris-changing-incentives-social-media/
118,https://80000hours.org/podcast/episodes/rob-wiblin-on-many-things/
119,https://80000hours.org/podcast/episodes/mushtaq-khan-institutional-economics/
120,https://80000hours.org/podcast/episodes/the-world-needs-ai-researchers-heres-how-to-become-one/
121,https://80000hours.org/podcast/episodes/aaron-hamlin-voting-reform/
122,https://80000hours.org/podcast/episodes/christian-tarsney-future-bias-fanaticism/
123,https://80000hours.org/podcast/episodes/80k-after-hours-michelle-habiba-advice-for-younger-selves/
124,https://80000hours.org/podcast/episodes/ben-todd-on-varieties-of-longtermism/
125,https://80000hours.org/podcast/episodes/michelle-hutchinson-global-priorities/
126,https://80000hours.org/podcast/episodes/howie-rob-coronavirus-february-3rd/
127,https://80000hours.org/podcast/episodes/will-macaskill-paralysis-and-hinge-of-history/
128,https://80000hours.org/podcast/episodes/nina-schick-disinformation-synthetic-media/
129,https://80000hours.org/podcast/episodes/pushmeet-kohli-deepmind-safety-research/
130,https://80000hours.org/podcast/episodes/persis-eskander-wild-animal-welfare/
