,0
0,https://www.hilcoglobal.com/smarter-perspectives/2
1,https://www.hilcoglobal.com/docs/default-source/perspectives/cr20210716_hcr2129-665-home-furnishings-market8d9e03c156f5681a826dff00000cea79.pdf?sfvrsn=246b6ba2_0
2,https://www.hilcoglobal.com/smarter-perspectives/details/transportation/podcast-factors-impacting-the-2021-class-8-truck-market
3,https://www.hilcoglobal.com/smarter-perspectives/details/transportation/q2-2021-intermodal-chassis-market-update
4,https://www.hilcoglobal.com/smarter-perspectives/details/jewelry-industry/asset-based-lending-guidelines-and-more
5,https://www.hilcoglobal.com/docs/default-source/default-document-library/hg-160-hvs_inflation_sp_article31c907c156f5681a826dff00000cea79.pdf?sfvrsn=983c6fa2_0
6,https://www.hilcoglobal.com/docs/default-source/perspectives/hcr2119-583-autoparts-smarter-perspective-y20-q04.pdf?sfvrsn=4c0769a2_0
7,https://www.hilcoglobal.com/smarter-perspectives/details/automotive/over-promising-and-underdelivering
8,https://www.hilcoglobal.com/docs/default-source/perspectives/chip-shortage-q2-2021-automotive.pdf?sfvrsn=8e686ba2_0
9,https://www.hilcoglobal.com/smarter-perspectives/11
10,https://www.hilcoglobal.com/smarter-perspectives/details/intellectual-property/ipv4-addresses-often-a-hidden-asset-with-significant-monetization-potential
11,https://www.hilcoglobal.com/docs/default-source/perspectives/the-evolution-of-the-new-mall-lease.pdf?sfvrsn=b4926ea2_2
12,https://www.hilcoglobal.com/smarter-perspectives/details/audiovisual/podcast-the-audiovisual-industry-and-the-fallout-of-the-ongoing-pandemic
13,https://www.hilcoglobal.com/docs/default-source/perspectives/wholesale-solutions-perspective.pdf?sfvrsn=54cf93a3_0
14,https://www.hilcoglobal.com/smarter-perspectives/details/real-estate/hilco-global-asset-smarter-perspective-podcast-series-hotels
15,https://www.hilcoglobal.com/smarter-perspectives/details/wholesale/podcast-inventory-monetization-options-for-retailers-and-manufacturers
