,0
0,https://greggclunis.com/tiny-leaps/
1,https://www.thescienceofpsychotherapy.com/prefrontal-cortex/
2,https://awesomeatyourjob.libsyn.com/241-how-to-have-more-fun-while-achieving-more-with-dave-crenshaw
3,http://awesomeatyourjob.com/ep43
4,https://www.google.com/
5,https://www.wsj.com/articles/talkaholics-sink-partnerships-presentationsand-careers-1513173600
6,https://traffic.libsyn.com/secure/awesomeatyourjob/361_-_Communicating_In_the_Language_of_Leadership_with_Chris_Westfall.mp3
7,https://kahoot.com/
8,https://traffic.libsyn.com/secure/awesomeatyourjob/130_-_Managing_Interns_and_Managing_your_Career_with_Mark_Babbitt.mp3
9,https://traffic.libsyn.com/secure/awesomeatyourjob/081_-_Lessons_from_Thousands_of_Employee_Observation_Hours_with_Dave_Nevogt.mp3
10,http://awesomeatyourjob.com/ep22
11,https://greatassistant.com/
12,http://awesomeatyourjob.com/ep275
13,https://ocw.mit.edu/index.htm
14,https://www.twilio.com/
15,https://awesomeatyourjob.libsyn.com/043-finding-your-voice-power-with-renee-grant-williams
16,https://awesomeatyourjob.libsyn.com/215-expanding-self-awareness-using-the-top-personality-frameworks-with-anne-bogel
17,https://awesomeatyourjob.libsyn.com/257-innovating-through-empathetic-collaboration-with-turi-mckinley
18,https://rogerfirestien.com/create-in-a-flash/
19,http://www.equilibrialeadership.com/books/what-keeps-leaders-up-at-night/
20,https://awesomeatyourjob.libsyn.com/098-resilience-training-with-sean-douglas
21,https://traffic.libsyn.com/secure/awesomeatyourjob/324_-_Strengthening_Your_Focusing_Abilities_with_Adam_Gazzaley.mp3
22,https://awesomeatyourjob.com/421-why-great-leaders-have-no-rules-with-kevin-kruse/
23,https://traffic.libsyn.com/secure/awesomeatyourjob/470_-_How_to_Give_and_Receive_Useful_Feedback_Every_Month_Insider_Tips_on_Making_Performance_Reviews_Not_Suck_with_Dr._Craig_Dowden.mp3
24,https://www.amazon.com/Even-Cowgirls-Get-Blues-Novel/dp/055334949X?tag=petemo-20
25,https://www.amazon.com/Iterate-Fast-Flexible-Focused-Management/dp/0999191314/ref=sr_1_2?s=books&ie=UTF8&qid=1526944286&sr=1-2&keywords=Iterate
26,https://www.rogerdooley.com/
27,https://awesomeatyourjob.libsyn.com/279-how-to-feel-more-alive-at-work-with-dan-cable
28,https://traffic.libsyn.com/secure/awesomeatyourjob/447_-_What_Innovators_Do_Differently_with_Hal_Gregersen.mp3
29,https://traffic.libsyn.com/secure/awesomeatyourjob/255_-_Minimizing_Avoidable_Failures_with_Russell_Klusas.mp3
30,https://twitter.com/patflynn
31,https://awesomeatyourjob.libsyn.com/143-tackling-problematic-people-amp-behaviors-with-dr-janie-fritz
32,https://traffic.libsyn.com/secure/awesomeatyourjob/300_-_How_to_Speak_Using_Your_Perfect_Voice_with_Roger_Love.mp3
33,https://www.jeffsanders.com/speaking/
34,https://awesomeatyourjob.libsyn.com/042-contextualizing-your-to-do-list-with-ben-elijah
35,https://traffic.libsyn.com/secure/awesomeatyourjob/508_-_Becoming_an_Impactful_and_Influential_Leader_with_Ron_Price.mp3
36,https://awesomeatyourjob.libsyn.com/008-upgrading-your-creativity-with-esteban-gast
37,https://awesomeatyourjob.libsyn.com/245-getting-into-flowrepeatedly-with-steven-kotler
38,https://awesomeatyourjob.libsyn.com/073-leading-change-with-dr-john-kotter#comments
39,http://www.huffingtonpost.com/maura-sweeney/
40,https://awesomeatyourjob.libsyn.com/372-how-to-take-the-work-out-of-networking-with-karen-wickre#comments
41,https://awesomeatyourjob.libsyn.com/463-insights-on-persuasion-from-the-land-of-copywriting-with-brian-kurtz#comments
42,http://josephpliu.com/tedx
43,https://traffic.libsyn.com/secure/awesomeatyourjob/079_-_Intentional_Scheduling_with_Jeff_Sanders.mp3
44,https://www.amazon.com/Ego-Enemy-Ryan-Holiday/dp/1591847818/?tag=petemo-20
45,https://awesomeatyourjob.libsyn.com/447-what-innovators-do-differently-with-hal-gregersen
46,https://awesomeatyourjob.libsyn.com/426-how-to-feel-limitless-in-your-career-with-laura-gassner-otting#comments
47,https://awesomeatyourjob.libsyn.com/146-accessing-your-brains-hidden-potential-with-dr-barbara-oakley#comments
48,http://awesomeatyourjob.com/ep23
49,https://awesomeatyourjob.libsyn.com/331-making-things-work-through-context-creation-and-candid-communication-with-josselyne-herman-saccio#comments
50,https://traffic.libsyn.com/secure/awesomeatyourjob/243_-__How_to_Be_More_Popular_and_Why_that_Still_Matters_at_Work_with_Mitch_Prinstein.mp3
51,https://awesomeatyourjob.libsyn.com/073-leading-change-with-dr-john-kotter
52,https://awesomeatyourjob.libsyn.com/373-getting-consistently-good-results-from-yourself-and-others-with-weldon-long#comments
53,http://awesomeatyourjob.com/ep99
54,https://twitter.com/gtdtimes?lang=en
55,http://amzn.to/2dZU2OW
56,https://www.linkedin.com/in/juliemorgenstern
57,http://awesomeatyourjob.com/ep248
58,https://awesomeatyourjob.libsyn.com/288-managing-first-timers-in-the-workplace-with-chris-deferio#comments
59,https://www.perrymarshall.com/8020-book/
60,https://traffic.libsyn.com/secure/awesomeatyourjob/226_-_Finding_the_Energy_for_Optimal_Performance_with_Cate_Stillman.mp3
61,http://awesomeatyourjob.com/ep148
62,https://www.amazon.com/Linchpin-Are-Indispensable-Seth-Godin/dp/1591843162/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=?tag=petemo-20
63,https://awesomeatyourjob.libsyn.com/092-optimized-tools-for-planning-anything-with-stacey-dyer
64,https://twitter.com/nancyduarte
65,https://awesomeatyourjob.libsyn.com/254-how-to-afford-anything-and-care-for-your-career-with-paula-pant
66,https://traffic.libsyn.com/secure/awesomeatyourjob/065_-_Super-Sizing_Your_Strengths_with_Lisa_Cummings.mp3
67,https://traffic.libsyn.com/secure/awesomeatyourjob/168_-_Growing_Your_Personal_and_Professional_Relationships_with_Olivia_June_Poole.mp3
68,http://awesomeatyourjob.com/ep481
69,https://awesomeatyourjob.libsyn.com/374-future-proofing-your-career-through-three-key-skills-with-stephen-warley#comments
70,https://awesomeatyourjob.libsyn.com/531-how-to-differentiate-yourself-to-get-promoted-with-stan-silverman#comments
71,https://awesomeatyourjob.libsyn.com/266-developing-your-free-time-formula-with-jeff-sanders#comments
72,http://awesomeatyourjob.com/ep144
73,https://traffic.libsyn.com/secure/awesomeatyourjob/052_-_Mind_Management_for_Productivity_with_David_Kadavy.mp3
74,https://traffic.libsyn.com/secure/awesomeatyourjob/B_-_CAREER_MANAGEMENT_-_Conquering_the_Five_Career_Derailers_with_Carter_Cast.mp3
75,https://awesomeatyourjob.libsyn.com/265-getting-the-most-out-of-each-day-with-peter-shankman
76,https://traffic.libsyn.com/secure/awesomeatyourjob/529_-_Finding_Greater_Success_and_Fulfillment_with_Dr.Daphne_Scott.mp3
77,https://www.amazon.com/Ground-Up-Journey-Reimagine-Promise/dp/0525509445/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=?tag=petemo-20
78,http://jle.vi/youtube
79,https://static1.squarespace.com/static/5523ffe4e4b012b2c4ebd8fc/t/56d9c0ab3c44d8f97d82bfcd/1457111212046/Interpreting+Interruption+in+Conversation.pdf
80,https://awesomeatyourjob.libsyn.com/319-how-to-never-stop-learning-with-bradley-r-staats#comments
81,http://awesomeatyourjob.com/ep256
82,https://awesomeatyourjob.libsyn.com/077-positive-responses-for-positive-results-with-maura-sweeney
83,https://www.ted.com/#/
84,https://awesomeatyourjob.libsyn.com/431-leadership-practices-you-should-stop-with-sara-canaday#comments
85,https://awesomeatyourjob.libsyn.com/017-connecting-a-better-way-with-thom-singer#comments
86,http://awesomeatyourjob.com/ep137
87,https://awesomeatyourjob.com/428-no-job-can-give-you-meaning-and-other-intruguing-insights-into-work-with-ellen-ruppel-shell/
88,https://traffic.libsyn.com/secure/awesomeatyourjob/330_-_Becoming_Indistractable_with_Nir_Eyal.mp3
89,https://awesomeatyourjob.libsyn.com/113-how-to-get-promoted-fast-and-make-your-employees-love-you-with-jamie-newman
90,https://awesomeatyourjob.libsyn.com/275-how-to-manage-your-manager-with-mary-abbajay
91,https://awesomeatyourjob.libsyn.com/264-navigating-the-treacherous-ascent-to-leadership-with-ron-carucci#comments
92,https://awesomeatyourjob.libsyn.com/392-getting-your-dream-job-by-illustrating-your-value-with-austin-belcak
93,http://awesomeatyourjob.com/ep151
94,http://awesomeatyourjob.com/ep500
95,http://awesomeatyourjob.com/ep503
96,https://awesomeatyourjob.libsyn.com/419-aligning-your-career-with-your-definition-of-success#comments
97,https://awesomeatyourjob.libsyn.com/471-how-to-acquire-new-skills-faster-with-scott-h-young#comments
98,https://www.scienceofpeople.com/microexpressions/
99,https://traffic.libsyn.com/secure/awesomeatyourjob/288_-_Managing_First_Timers_in_the_Workplace_with_Chris_Deferio.mp3
100,https://awesomeatyourjob.libsyn.com/197-getting-and-growing-mo-money-with-joe-saul-sehy
