,0
0,https://cnxn.podbean.com/e/replay-episode-09-war-of-the-algorithms-the-impact-of-ai-now-and-in-the-future/
1,https://cnxn.podbean.com/e/episode-39-get-more-out-of-microsoft-teams-with-poly-collaboration/
2,https://cnxn.podbean.com/e/episode-13-security-health-check-round-table-discussion/
3,https://cnxn.podbean.com/e/episode-01-what-is-business-resiliency/
4,https://cnxn.podbean.com/e/episode-58-what-the-tech-is-next/
5,https://cnxn.podbean.com/e/episode-27-digital-signage-what-i-didnt-know-you-could-do-that/
6,https://cnxn.podbean.com/e/episode74-elevate-your-zoom-experience/
7,https://cnxn.podbean.com/e/episode-63-higher-education-preparing-for-an-epic-gap-year/
8,https://cnxn.podbean.com/e/episode-14-all-things-hp-and-all-things-security/
9,https://cnxn.podbean.com/e/episode-21ruckus-and-soter-tackle-school-vaping-andy-bullying-with-it/
10,https://cnxn.podbean.com/e/episode-30-what-the-tech-just-happened-2/
11,https://cnxn.podbean.com/e/episode-57-microsoft-teams-to-keep-your-team-operational/
12,https://cnxn.podbean.com/e/episode-67-rethinking-education-3-ways-the-cares-act-can-support-k-12-part-one/
13,https://cnxn.podbean.com/e/episode-99-addressing-qsr-workforce-restraints-with-elo-in-store-products/
14,https://cnxn.podbean.com/e/episode-80digitaltransformationtheadoption-of-thecloud-andmanaged-services-with-staycecodyand-matt-keylorthepartnership-among-veeammicrosoftandconn/
15,https://cnxn.podbean.com/e/windows-7-end-of-life/
16,https://cnxn.podbean.com/e/episode-102-tour-de-force-of-tech-collaboration/
17,https://cnxn.podbean.com/e/replay-of-episode-29-the-magic-behind-one-of-the-us-premier-distribution-centers/
18,https://cnxn.podbean.com/e/episode-60-whats-on-the-other-side-of-the-crisis/
19,https://cnxn.podbean.com/e/episode-80-workplace-transformation-part-1-with-rhett-livengood-safety-happiness-and-productivity/
20,https://cnxn.podbean.com/e/episode-97-the-hybrid-workforce-is-here-to-stay/
21,https://cnxn.podbean.com/e/episode-68-rethinking-education-3-ways-the-cares-act-can-support-k-12-part-2-addressing-accessibility-while-social-distancing/
22,https://cnxn.podbean.com/e/episode-56-covid-19-operating-as-an-essential-business-in-a-time-of-crisis-subtitle-how-to-develop-a-task-force/
23,https://cnxn.podbean.com/e/samsung-explains-mobile-device-management-in-under-5-minutes/
24,https://cnxn.podbean.com/e/01-how-mobile-devices-have-transformed-police-procedures/
25,https://cnxn.podbean.com/e/episode-20-part-2-of-the-cyber-security-round-table-discussion-with-leading-cyber-security-experts/
26,https://cnxn.podbean.com/e/technology-integration-distribution-center/
27,https://cnxn.podbean.com/e/episode-95-always-connected-always-collaborating-with-microsoft-and-lenovo/
28,https://cnxn.podbean.com/e/episode-32-hey-microsoft-we-want-to-know-what-really-happens-if-we-dont-upgrade-from-windows-7/
29,https://cnxn.podbean.com/e/episode-52-the-new-normal-for-businesses-across-the-country/
