,0
0,https://dl.tufts.edu/concern/audios/kd17d339c
1,https://dl.tufts.edu/concern/audios/1j92gk076
2,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Gorthy%2C+Willis+C.
3,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Toynbee%2C+Arnold
4,https://dl.tufts.edu/concern/audios/0k225n09x
5,https://dl.tufts.edu/concern/audios/pk02cm88w
6,https://dl.tufts.edu/concern/audios/cc08hr681
7,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Joubert+de+la+Ferte%2C+Philip%2C+Sir
8,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Burgess%2C+Alex.+M.
9,https://dl.tufts.edu/concern/audios/76537b987
10,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Romulo%2C+Carlos+P.+%28Carlos+Pena%29
11,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Bindt%2C+Juliet
12,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Kristoffersen%2C+Magnus+K.
13,https://dl.tufts.edu/concern/audios/sb397k65k
14,https://dl.tufts.edu/concern/audios/wh247416m
15,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Durant%2C+Will
16,https://dl.tufts.edu/concern/audios/sf268g18f
17,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Bird%2C+Remsen+Du+Bois
18,https://dl.tufts.edu/concern/audios/st74d206v
19,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Brown%2C+Margery+Finn
20,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Hammarskjold%2C+Dag
21,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Simons%2C+Leonard+N.
22,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Abu+Shadi%2C+Ahmad+Zaki
23,https://dl.tufts.edu/catalog?f%5Bdl_member_of_collections_ssim%5D%5B%5D=Edward+R.+Murrow+papers
24,https://dl.tufts.edu/concern/audios/7s75dq051
25,https://dl.tufts.edu/concern/audios/w95059827
26,https://dl.tufts.edu/concern/audios/b8515z669
27,https://dl.tufts.edu/concern/audios/gq67k277g
28,https://dl.tufts.edu/concern/audios/js956r744
29,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Doerr%2C+Bobby
30,https://dl.tufts.edu/catalog?f%5Bcreator_sim%5D%5B%5D=Livingston%2C+Viola
