,0
0,https://pearll.nflc.umd.edu/2019/01/23/wtl-transcript-episode-78/
1,https://pearll.nflc.umd.edu/2019/04/09/wtl-episode-98/
2,https://pearll.nflc.umd.edu/2020/01/03/wtl-episode-129/
3,https://pearll.nflc.umd.edu/2020/05/13/wtl-episode-140/
4,https://pearll.nflc.umd.edu/2020/01/27/wtl-episode-132/
5,https://pearll.nflc.umd.edu/2020/01/23/wtl-episode-131/
6,https://pearll.nflc.umd.edu/2019/07/23/wtl-episode-29-rerun/
7,https://pearll.nflc.umd.edu/2019/03/25/wtl-episode-96/
8,https://pearll.nflc.umd.edu/2019/10/01/wtl-episode-117/
9,https://pearll.nflc.umd.edu/2019/06/05/wtl-episode-106/
10,https://pearll.nflc.umd.edu/2020/05/18/wtl-episode-9-rerun/
11,https://pearll.nflc.umd.edu/2019/10/31/wtl-episode-121-part-1/
12,https://pearll.nflc.umd.edu/2019/06/25/wtl-episode-109/
13,https://pearll.nflc.umd.edu/2020/03/09/wtl-episode-136/
14,https://pearll.nflc.umd.edu/2020/01/02/wtl-episode-128/
15,https://pearll.nflc.umd.edu/2019/11/25/wtl-episode-124/
16,https://pearll.nflc.umd.edu/2019/08/21/wtl-episode-112/
17,https://pearll.nflc.umd.edu/2019/08/26/wtl-episode-113/
18,https://pearll.nflc.umd.edu/2020/04/28/wtl-episode-138/
19,https://pearll.nflc.umd.edu/2020/02/26/wtl-episode-135/
20,https://pearll.nflc.umd.edu/2019/07/23/wtl-episode-41-rerun/
21,https://pearll.nflc.umd.edu/2019/02/21/podcast-wtl-episode-92/
22,https://pearll.nflc.umd.edu/2021/08/13/wtl-episode-145/
23,https://pearll.nflc.umd.edu/2019/11/15/wtl-episode-123/
24,https://pearll.nflc.umd.edu/2019/07/10/wtl-episode-23-rerun/
25,https://pearll.nflc.umd.edu/2019/08/21/wtl-episode-111/
26,https://pearll.nflc.umd.edu/2019/04/29/wtl-episode-100/
27,https://pearll.nflc.umd.edu/2019/09/16/wtl-114/
28,https://pearll.nflc.umd.edu/2019/05/30/wtl-episode-102/
29,https://pearll.nflc.umd.edu/2020/06/15/wtl-episode-142/
30,https://pearll.nflc.umd.edu/2019/05/10/wtl-episode-101/
31,https://pearll.nflc.umd.edu/2019/12/02/wtl-episode-125/
32,https://pearll.nflc.umd.edu/2019/07/02/wtl-episode-110/
33,https://pearll.nflc.umd.edu/2019/12/10/wtl-episode-127/
34,https://pearll.nflc.umd.edu/2019/06/14/wtl-episode-107/
35,https://pearll.nflc.umd.edu/2020/04/28/wtl-episode-139/
36,https://pearll.nflc.umd.edu/2019/10/16/wtl-episode-119/
37,https://pearll.nflc.umd.edu/2019/05/30/wtl-episode-103/
38,https://pearll.nflc.umd.edu/2019/04/17/wtl-episode-99/
39,https://pearll.nflc.umd.edu/2019/08/05/wtl-episode-42-rerun/
40,https://pearll.nflc.umd.edu/2020/04/15/wtl-episode-137/
41,https://pearll.nflc.umd.edu/2020/06/10/wtl-episode-141/
42,https://pearll.nflc.umd.edu/2020/07/31/wtl-episode-143/
43,https://pearll.nflc.umd.edu/2020/07/31/wtl-episode-144/
44,https://pearll.nflc.umd.edu/2019/10/22/wtl-episode-120/
45,https://pearll.nflc.umd.edu/2019/11/11/wtl-episode-122-part-2/
46,https://pearll.nflc.umd.edu/2020/02/24/wtl-episode-133/
47,https://pearll.nflc.umd.edu/2019/05/30/wtl-episode-105/
48,https://pearll.nflc.umd.edu/2019/04/02/wtl-episode-97/
49,https://pearll.nflc.umd.edu/2019/03/12/wtl-episode-58-rerun/
50,https://pearll.nflc.umd.edu/2019/02/26/wtl-episode-93/
51,https://pearll.nflc.umd.edu/2019/03/04/wtl-episode-94/
52,https://pearll.nflc.umd.edu/2019/05/30/wtl-episode-104/
53,https://pearll.nflc.umd.edu/2019/12/05/wtl-episode-126/
54,https://pearll.nflc.umd.edu/2020/02/24/wtl-episode-134/
55,https://pearll.nflc.umd.edu/2019/03/20/wtl-episode-95/
56,https://pearll.nflc.umd.edu/2021/08/13/wtl-episode-146/
57,https://pearll.nflc.umd.edu/2019/09/16/wtl-episode-115/
58,https://pearll.nflc.umd.edu/2019/06/19/wtl-episode-108/
59,https://pearll.nflc.umd.edu/2020/01/03/wtl-episode-130/
60,https://pearll.nflc.umd.edu/2019/09/17/wtl-episode-116/
