,0
0,https://archive.storycorps.org/interviews/mom-interview-425/
1,https://archive.storycorps.org/interviews/brad-and-barb-thanksgiving-2018/
2,https://archive.storycorps.org/interviews/wenrong-sheng-5/
3,https://archive.storycorps.org/interviews/william-murders/
4,https://archive.storycorps.org/interviews/sally-hensel-interviews-dale-olen/
5,https://archive.storycorps.org/interviews/what-is-the-first-major-news-story-you-can-remember-living-through-as-a-child/
6,https://archive.storycorps.org/interviews/from-despair-and-grief-comes-joy-and-peace/
7,https://archive.storycorps.org/interviews/abril-sanchez-3/
8,https://archive.storycorps.org/interviews/jhenna-reflects-on-the-psychology-of-environmental-stewardship/
9,https://archive.storycorps.org/interviews/my-sister-monica/
10,https://archive.storycorps.org/interviews/aaron-mcgonnells-interview/
11,https://archive.storycorps.org/interviews/macy-2/
12,https://archive.storycorps.org/interviews/practice-345/
13,https://archive.storycorps.org/interviews/my-pops-and-i/
14,https://archive.storycorps.org/interviews/sydney-and-brianne-discuss-preparing-for-the-climate-emergency/
15,https://archive.storycorps.org/interviews/the-life-of-my-%cf%80%ce%b1%cf%80%cf%80%ce%bf%cf%85/
16,https://archive.storycorps.org/interviews/oral-history-project-202/
17,https://archive.storycorps.org/interviews/interview-with-mom-813/
18,https://archive.storycorps.org/interviews/chs-career-prep-11/
19,https://archive.storycorps.org/interviews/interview-1171/
20,https://archive.storycorps.org/interviews/mom-and-sofia-interview/
21,https://archive.storycorps.org/interviews/grandpa-rons-10-questions/
22,https://archive.storycorps.org/interviews/international-students-experinces/
23,https://archive.storycorps.org/interviews/lexi-interview-tefb-412/
24,https://archive.storycorps.org/interviews/final-project-30/
25,https://archive.storycorps.org/interviews/people-are-working-the-best-they-can/
26,https://archive.storycorps.org/interviews/2020-2021-memories-2/
27,https://archive.storycorps.org/interviews/english-project-160/
28,https://archive.storycorps.org/interviews/erica-richardson-and-julia-davis/
29,https://archive.storycorps.org/interviews/grandads-99th-birthday/
30,https://archive.storycorps.org/interviews/dad-547/
31,https://archive.storycorps.org/interviews/judi/
32,https://archive.storycorps.org/interviews/essential-worker-interview/
33,https://archive.storycorps.org/interviews/life-in-vietnam-from-moms-persepctive/
34,https://archive.storycorps.org/interviews/enter-viewing-my-mom/
35,https://archive.storycorps.org/interviews/marys-first-day/
36,https://archive.storycorps.org/interviews/interviewing-my-brother-13/
37,https://archive.storycorps.org/interviews/election-day-2020-interview/
38,https://archive.storycorps.org/interviews/dads-interview-138/
39,https://archive.storycorps.org/interviews/mom-769/
40,https://archive.storycorps.org/interviews/mommy-55/
41,https://archive.storycorps.org/interviews/the-conversation-between-daughter-and-father/
42,https://archive.storycorps.org/interviews/my-sisters-inspiration/
43,https://archive.storycorps.org/interviews/aaron-win-storycorps-apush-2/
44,https://archive.storycorps.org/interviews/test-894/
45,https://archive.storycorps.org/interviews/interview-with-my-mom-910/
46,https://archive.storycorps.org/interviews/test-1081/
47,https://archive.storycorps.org/interviews/testing-107/
48,https://archive.storycorps.org/interviews/ryan-morse/
49,https://archive.storycorps.org/interviews/my-interview-with-my-dad-33/
50,https://archive.storycorps.org/interviews/interview-1352/
51,https://archive.storycorps.org/interviews/7-question/
52,https://archive.storycorps.org/interviews/zaidian-van-orden-interviewing-his-grandmother-linda-horning/
53,https://archive.storycorps.org/interviews/aunt-gill/
54,https://archive.storycorps.org/interviews/a-cousin-interview-insight-from-ryne-hollenitch-an-older-millennial/
55,https://archive.storycorps.org/interviews/test-upload-for-the-2021-great-thanksgiving-listen-60/
56,https://archive.storycorps.org/interviews/my-mamaw-3/
57,https://archive.storycorps.org/interviews/my-mom-527/
58,https://archive.storycorps.org/interviews/mby017591/
59,https://archive.storycorps.org/interviews/lit-life-nathan-and-mary-kim-talk-about-the-great-gatsby/
60,https://archive.storycorps.org/interviews/alejandra-rosales-2/
61,https://archive.storycorps.org/interviews/riley-morin-and-lisa-rigney/
62,https://archive.storycorps.org/interviews/lauryn-madison-thanksgivings-2019/
