,0
0,https://fair.org/home/doles-debt-to-the-press/
1,https://fair.org/home/all-the-nypd-spin-thats-fit-to-print/
2,https://fair.org/extra/hearing-what-they-want-to-hear/
3,https://fair.org/home/its-crucial-to-distinguish-between-cant-and-wont-with-a-million-lives-at-stake/
4,https://fair.org/home/soundbites-march-2016/
5,https://fair.org/home/chris-savage-on-flint-water-poisoning/
6,https://fair.org/home/abcs-epstein-story-didnt-kill-itself/
7,https://fair.org/home/talking-to-nikes-knight-about-entrepreneurial-edge-worker-abuses-are-beyond-the-pale/
8,https://fair.org/author/ricardo-vaz/
9,https://fair.org/home/assange-case-shows-support-for-free-speech-depends-on-whos-talking/
10,https://fair.org/home/the-new-yorker-doesnt-factcheck-what-everyone-knows-is-true/
11,https://fair.org/home/bidens-multi-billion-afghan-theft-gets-scant-mention-on-tv-news/
12,https://fair.org/home/covid-19-speculation-goes-from-margin-to-center/
13,https://fair.org/home/we-need-to-change-the-rules-for-when-police-can-shoot/
14,https://fair.org/home/famous-war-correspondent-explains-why-hes-still-wrong-on-iraq/
15,https://fair.org/home/alvaro-bedoya-on-facial-recognition-and-the-color-of-surveillance/
16,https://fair.org/home/nyt-cheerleads-school-reopening-as-covid-spikes/
17,https://fair.org/counterspin/marjorie-cohn-on-isis-aumf-laura-flanders-on-worker-co-ops/
18,https://fair.org/home/media-nato-regime-change-war-libya-slave-markets/
19,https://fair.org/home/whats-a-non-racist-way-to-appeal-to-working-class-whites-nyts-edsall-cant-think-of-any/
20,https://fair.org/home/soundbites-june-2017/
21,https://fair.org/home/what-a-difference-four-years-makes/
22,https://fair.org/home/its-about-giving-people-tools-so-we-can-reach-transparency-critical-mass/
23,https://fair.org/home/top-16-euphemisms-us-headline-writers-used-for-police-beating-the-shit-out-of-people/
24,https://fair.org/home/wapo-tallies-police-killings-but-holds-back-some-of-the-numbers-that-count/
25,https://fair.org/home/the-stronger-the-boycott-the-thicker-the-hype/
26,https://fair.org/home/we-can-pool-the-worlds-science-to-develop-better-medical-tools/
27,https://fair.org/home/jane-mcalevey-on-metoo-labor-art-way-on-pot-recriminalization/
28,https://fair.org/home/city-officials-improved-the-climate-readiness-of-the-code-industry-groups-pushed-back/
29,https://fair.org/home/democracy-dies-in-the-light/
30,https://fair.org/home/corporate-media-begin-to-acknowledge-gop-coup-attempt/
31,https://fair.org/home/for-media-driving-into-a-crowd-of-protesters-is-a-clash/
32,https://fair.org/home/public-ownership-can-eliminate-some-of-those-warped-incentives-associated-with-monopoly/
33,https://fair.org/home/jeff-bezos-takes-wapos-advice-rips-off-wapo-workers/
34,https://fair.org/home/after-the-apocalypse-trying-to-describe-reality-in-unreal-times/
35,https://fair.org/home/no-sanders-secret-service-detail-isnt-costing-taxpayers-38000-a-day/
36,https://fair.org/home/nyt-reported-japanese-internment-as-pioneering-chapter-in-us-history/
37,https://fair.org/home/can-crossfire-have-a-climate-change-debate-without-climate-change-denial/
38,https://fair.org/home/what-journalism-needs-is-not-more-diversity-but-less-white-supremacy/
39,https://fair.org/home/facts-are-fair-game-for-wposts-axe-grinding-editorialists/
40,https://fair.org/home/abcs-raging-debate-over-edward-snowden/
41,https://fair.org/home/these-are-the-crimes-that-really-matter/
42,https://fair.org/home/irans-nuclear-weapons-program-again-3/
43,https://fair.org/home/abcs-unrealistic-paul-ryan-reality-check/
44,https://fair.org/home/iraq-is-a-place-where-americans-suffered/
45,https://fair.org/home/whos-reacting-to-iran-deal-pull-out-why-its-women-in-chadors-walking-past-anti-us-mural/
46,https://fair.org/home/western-media-whitewash-bolivias-far-right-coup/
47,https://fair.org/home/social-security-death-fraud-exposed/
48,https://fair.org/home/1-percent-of-taxpayers-receive-more-than-the-bottom-80-percent/
49,https://fair.org/home/el-chapo-and-el-banco/
50,https://fair.org/home/martha-raddatz-insider-war-correspondent/
51,https://fair.org/home/the-bureau-is-once-again-profiling-black-activists-because-of-their-beliefs-and-their-race/
52,https://fair.org/home/do-racists-like-fox-news-or-does-fox-make-people-racist/
53,https://fair.org/home/when-the-invisible-hand-gives-you-the-finger/
54,https://fair.org/home/trust-the-new-york-times-to-tell-you-not-to-trust-twitter/
55,https://fair.org/uncategorized/jailing-of-a-british-blogger-should-worry-journalists-on-both-sides-of-the-atlantic/
56,https://fair.org/home/fox-covers-up-a-benghazi-story/
57,https://fair.org/home/greenwald-splits-with-intercept-over-visions-of-editing/
58,https://fair.org/home/bill-keller-remembers-the-downing-street-memos-sort-of/
59,https://fair.org/home/reading-about-coronavirus-without-scaring-yourself-too-much-or-too-little/
60,https://fair.org/author/mark-karlin/
61,https://fair.org/home/when-washington-is-broken-isnt-the-story/
62,https://fair.org/home/julie-hollar-on-election-2020-coverage/
63,https://fair.org/author/lisa-lynch/
64,https://fair.org/author/justin-podur/
65,https://fair.org/home/which-candidate-will-better-exploit-the-irrational-fear-of-terrorism/
66,https://fair.org/home/how-many-unnamed-officials-does-it-take/
67,https://fair.org/home/oriaku-njoku-jill-heaviside-on-abortion-rights-in-georgia-and-beyond/
68,https://fair.org/home/some-use-chalabis-death-to-lay-blame-for-iraq-war-at-his-feet/
69,https://fair.org/home/fair-in-the-chicago-reader-the-arrangement-was-immediately-accused-by-fair-of-flunking-the-sniff-test/
70,https://fair.org/home/responsibility-for-this-crisis-belongs-on-the-corporations-that-have-created-it/
71,https://fair.org/home/pbs-to-treasury-official-why-cant-you-just-bomb-them/
72,https://fair.org/home/dick-durbin-wants-to-stop-you-from-being-a-journalist/
73,https://fair.org/home/pete-petersons-media-empire/
74,https://fair.org/home/defeated-by-democracy/
75,https://fair.org/home/facts-dont-interfere-with-propaganda-blitz-against-venezuelas-elected-president/
76,https://fair.org/home/us-companies-can-be-sued-for-involvement-in-child-slavery/
77,https://fair.org/author/dean-baker/
78,https://fair.org/home/talia-buford-on-environmental-justice-josh-ruebner-on-bds-ban/
79,https://fair.org/home/the-myth-that-sanders-hasnt-been-criticized-wont-go-away/
80,https://fair.org/home/a-plot-to-level-a-village-isnt-news-when-targets-are-muslim-and-plotter-is-christian/
81,https://fair.org/home/five-years-later-us-admits-lies-about-deadly-honduran-shooting/
82,https://fair.org/home/at-washington-post-defunding-police-is-a-step-too-radical/
83,https://fair.org/home/are-nicaraguan-migrants-escaping-repression-or-economic-sanctions/
84,https://fair.org/home/these-revelations-really-show-the-election-was-fraudulent/
85,https://fair.org/home/now-we-know-oil-is-more-toxic-than-we-thought/
86,https://fair.org/home/syrias-mobile-weapons-labs-where-have-we-heard-this-before/
87,https://fair.org/home/media-money-matters-with-the-olympics/
88,https://fair.org/home/what-do-nprs-right-wing-critics-have-to-complain-about/
89,https://fair.org/home/primetime-abortion-case-sources-lack-diversity/
90,https://fair.org/home/what-you-should-really-know-about-ukraine/
91,https://fair.org/home/media-turn-civilian-isis-victims-in-beirut-into-hezbollah-human-shields/
92,https://fair.org/home/rather-than-exposing-propaganda-wapo-shows-how-its-done/
93,https://fair.org/author/dusan-djordjevich/
94,https://fair.org/home/applause-for-perseverance-ignores-plutonium-bullet-we-dodged/
95,https://fair.org/home/fracking-away-the-climate-crisis/
96,https://fair.org/home/do-debate-questions-reflect-concerns-of-democratic-voters/
97,https://fair.org/home/soundbites-july-2018/
98,https://fair.org/home/ny-daily-news-broken-windows-works-and-if-it-hurts-immigrants-too-bad/
99,https://fair.org/home/ross-choma-on-trumps-conflicts-megan-hustings-on-food-sharing/
100,https://fair.org/home/media-treat-trump-administrations-partisan-fear-mongering-as-objective-government-report/
101,https://fair.org/home/wapo-thinks-if-you-knew-what-you-wanted-youd-want-lindsey-graham/
102,https://fair.org/home/gushing-coverage-of-the-billionaires-space-race/
103,https://fair.org/home/cnns-debate-on-terror-omitted-the-kind-that-kills-the-most-americans/
104,https://fair.org/home/network-of-insiders/
105,https://fair.org/home/by-assuming-snowdens-guilt-nyt-indicts-itself-and-journalism/
106,https://fair.org/home/michele-jawando-on-criminal-justice-reform-beverly-bell-on-food-sovereignty/
107,https://fair.org/home/saudi-arms-deal-stories-omitted-who-the-weapons-would-be-killing/
108,https://fair.org/home/friendly-oil-not-the-venezuelan-kind/
109,https://fair.org/article/op-ed-on-venezuela-slips-past-nyt-factcheckers/
110,https://fair.org/home/is-pbs-trying-to-hide-some-of-public-tvs-best-work/
111,https://fair.org/home/fair-makes-nations-list-of-most-valuable-progressives/
112,https://fair.org/home/the-decision-to-not-combat-the-coronavirus-was-a-choice/
113,https://fair.org/home/an-informal-arrangement-to-not-report-the-news/
114,https://fair.org/home/wapo-prints-study-that-found-paper-backed-an-undemocratic-bolivia-coup/
115,https://fair.org/home/oan-would-not-and-could-not-exist-without-atts-blessing/
116,https://fair.org/home/five-top-papers-run-18-opinion-pieces-praising-syria-strikes-zero-are-critical/
117,https://fair.org/home/nyt-reporting-on-trumps-budget-outline-is-seriously-confused/
118,https://fair.org/home/do-respectable-journalists-want-to-be-associated-with-bill-keller/
119,https://fair.org/home/that-punishment-of-women-is-already-happening/
120,https://fair.org/home/no-1-sponsor-of-terrorism-us-media-name-iran-but-overlook-a-candidate-closer-to-home/
121,https://fair.org/home/fair-tv-palestinian-lives-iran-facts-abcs-walmart-promo/
122,https://fair.org/home/fcc-wants-to-end-persecution-of-media-moguls/
123,https://fair.org/home/right-wing-cop-bashing-didnt-start-with-trump/
124,https://fair.org/home/there-is-a-fundamental-imbalance-in-the-power-of-employers-and-employees/
125,https://fair.org/home/government-money-thats-gone-into-vaccine-development-is-being-privatized-by-a-handful-of-companies/
126,https://fair.org/home/panic-over-cancel-culture-is-another-example-of-right-wing-projection/
127,https://fair.org/home/nyt-reassures-afghans-that-the-troops-they-want-to-leave-are-going-to-stay/
128,https://fair.org/home/charlie-roses-debt-commission-non-debate/
129,https://fair.org/home/suyapa-portillo-villeda-on-honduran-election/
130,https://fair.org/home/social-security-cuts-are-medias-center/
131,https://fair.org/home/its-because-of-their-independence-that-they-can-get-these-stories/
132,https://fair.org/home/act-now-think-later-in-afghanistan/
133,https://fair.org/home/independent-media-is-about-introducing-people-to-each-other/
134,https://fair.org/home/nyt-makes-the-case-for-trump-via-racialized-rural-mythology/
135,https://fair.org/home/postal-service-broke-letter-explains-what-usa-today-omitted/
136,https://fair.org/home/romney-whistleblower-comes-forward-not-really/
137,https://fair.org/home/the-foreigners-obama-needs-to-love-to-prove-he-loves-america/
138,https://fair.org/home/in-haiti-washington-meddling-missed-by-press/
139,https://fair.org/home/how-did-benghazi-become-a-ruin-nyt-ignores-us-role-in-multiple-media/
140,https://fair.org/home/charleston-massacre-media-coverage-recognizing-the-crime-downplaying-the-causes/
141,https://fair.org/home/the-lou-dobbs-primary-2/
142,https://fair.org/home/dont-trust-polls-on-dont-say-gay/
143,https://fair.org/home/whats-the-message-of-clintons-noncampaign-for-the-office-she-might-run-for-in-three-years/
144,https://fair.org/home/saudi-pr-pays-off-at-the-atlantic/
145,https://fair.org/home/us-jobless-rate-broke-depression-era-record-but-most-media-missed-it/
146,https://fair.org/home/bernie-sanders-plunges-to-first-place/
147,https://fair.org/home/federal-reserve-independence-means-its-free-to-serve-the-financial-industry/
