,0
0,https://humanitiesny.org/news/page/5/
1,https://humanitiesny.org/news/page/2/
2,https://humanitiesny.org/winning-the-vote/
3,https://humanitiesny.org/2015/04/
4,https://twitter.com/search?q=%23HarrietTubmanDay&src=hash
5,mailto:nmacdonald@humanitiesny.org
6,https://humanitiesny.org/tag/hudson-valley/
7,https://humanitiesny.org/2020/08/
8,https://humanitiesny.org/hny-board-news-2/
9,https://humanitiesny.org/2020/05/
10,https://humanitiesny.org/2020/06/
11,https://humanitiesny.org/2019/02/
12,https://humanitiesny.org/hny-board-news/
13,https://humanitiesny.org/tag/arts-culture-media/
14,https://humanitiesny.org/humanities-history-power-protest-reading-list/
15,https://humanitiesny.org/2014/12/
16,https://humanitiesny.org/tag/museums/
17,https://humanitiesny.org/tag/environment/
18,https://humanitiesny.org/where-its-at-barbershops-of-newburgh/
19,https://humanitiesny.org/tag/grants/
20,https://humanitiesny.org/news/page/6/
21,https://humanitiesny.org/tag/essay/
22,https://humanitiesny.org/humanities-new-york-awards-1-2-million-in-arp-act-funding/
23,https://humanitiesny.org/tag/rochester/
24,https://humanitiesny.org/tag/puerto-rico/
25,https://humanitiesny.org/2018/06/
26,https://t.co/tGfsxNKlUy
27,https://humanitiesny.org/2018/10/
28,https://humanitiesny.org/reading-list-amended-suffrage-and-beyond/
29,https://humanitiesny.org/2016/10/
30,https://humanitiesny.org/tag/art/
31,https://humanitiesny.org/making-history-accessible-black-citizenship-in-the-age-of-jim-crow/
32,https://humanitiesny.org/hny-board-staff-news/
33,https://humanitiesny.org/tag/deaf/
34,https://humanitiesny.org/2019/03/
35,https://humanitiesny.org/tag/sharp/
36,https://humanitiesny.org/tag/voting-rights/
37,https://humanitiesny.org/amended-bonus-episode-freedom-summer-from-scene-on-radio/
38,https://humanitiesny.org/news/
39,https://humanitiesny.org/hny-sharp-recovery-grants-for-humanities-organizations/
40,https://humanitiesny.org/tag/niagara/
41,https://humanitiesny.org/buffalo-humanities-festival/
42,https://humanitiesny.org/tag/students/
43,https://humanitiesny.org/category/amended/
44,https://humanitiesny.org/tag/land-liberty-and-loss/
45,https://humanitiesny.org/amended-episode-4-embers-and-activism/
46,https://humanitiesny.org/amended-bonus-episode-amended-in-action-the-creative-team-behind-amended/
47,https://humanitiesny.org/tag/humanities/
48,https://www.twitter.com/_FABnyc
49,https://humanitiesny.org/2015/12/
50,https://humanitiesny.org/tag/migration/
51,https://humanitiesny.org/2020/09/
52,https://humanitiesny.org/pandemic-inequality-conversation/
53,https://humanitiesny.org/tag/civic-engagement/
54,https://humanitiesny.org/2020/01/
55,https://humanitiesny.org/definitions-of-black-agency-the-legacy-of-mildred-johnson-edwards/
56,https://humanitiesny.org/2020/10/
57,https://humanitiesny.org/2018/07/
58,https://humanitiesny.org/people-not-property-exploring-the-legacy-of-slavery-in-new-yorks-hudson-valley/
59,https://humanitiesny.org/news/page/3/
60,https://humanitiesny.org/tag/book-excerpt/
61,https://humanitiesny.org/2020/12/
62,https://humanitiesny.org/2017/06/
63,https://humanitiesny.org/a-conversation-with-bomb-magazine-cross-cultural-collaboration-interactive-programming-and-oral-history/
64,https://humanitiesny.org/hny-sharp-action-grants-awarded/
65,https://humanitiesny.org/amended-bonus-episode-civic-action-voting-part-1-from-civics-101/
66,https://humanitiesny.org/place-and-story/
67,https://humanitiesny.org/tag/grant-funded-project/
68,https://humanitiesny.org/amended-episode-3-of-rights-and-wrongs/
69,https://humanitiesny.org/tag/mass-incarceration/
70,https://humanitiesny.org/tag/oral-history/
71,https://humanitiesny.org/tag/black-history/
72,https://humanitiesny.org/tag/harlem/
73,https://humanitiesny.org/2017/08/
74,https://humanitiesny.org/2017/05/
75,https://humanitiesny.org/history-and-the-american-imagination-a-george-saunders-and-imani-perry-reading-list/
76,https://humanitiesny.org/2021/05/
77,https://humanitiesny.org/tag/literature/
78,https://humanitiesny.org/2021/01/
79,https://humanitiesny.org/tag/pandemic/
80,https://humanitiesny.org/tag/history/
81,https://humanitiesny.org/further-readings-from-turning-the-tide-communicating-climate-science/
82,https://humanitiesny.org/virtual-reality-immerses-visitors-at-albany-history-fair-2018/
83,https://humanitiesny.org/west-of-stonewall-the-struggle-for-lgbt-rights-in-western-new-york/
84,https://humanitiesny.org/tag/criminal-justice/
85,https://t.co/7Q56oehPiL
86,https://humanitiesny.org/2017/02/
87,https://humanitiesny.org/tag/protest/
88,https://humanitiesny.org/land-liberty-loss-echoes-of-the-american-revolution/
89,https://humanitiesny.org/hny-awards-31-grants-for-public-humanities-projects/
90,https://humanitiesny.org/2022/04/
91,https://humanitiesny.org/tag/board/
92,https://humanitiesny.org/tag/rd/
93,https://humanitiesny.org/tag/podcast/
94,https://humanitiesny.org/tag/civil-rights/
95,https://humanitiesny.org/33-humanities-grants-awarded-across-nys-for-public-programs-on-womens-history-queer-issues-and-localities/
96,https://humanitiesny.org/tag/womens-rights/
97,https://humanitiesny.org/humanities-new-york-awards-32-grants-across-nys-for-public-programs-on-incarceration-urban-design-african-american-history-and-more/
98,https://humanitiesny.org/amended-episode-6-walking-in-two-worlds/
99,https://humanitiesny.org/there-is-no-texting-at-james-baldwins-table/
100,https://humanitiesny.org/tag/programming/
101,https://humanitiesny.org/freedom-from-margin-to-center/
102,https://humanitiesny.org/how-do-we-talk-about-the-environmental-crisis/
103,https://humanitiesny.org/2017/10/
104,https://humanitiesny.org/reading-list-community-and-climate-change/
105,https://humanitiesny.org/environmental-storytelling-in-the-st-lawrence-watershed/
106,https://humanitiesny.org/tag/stonewall50/
107,https://humanitiesny.org/category/calendar-featured-blog/
108,https://humanitiesny.org/tag/rikers/
109,https://humanitiesny.org/tag/chinese-history/
110,https://humanitiesny.org/tag/community-conversations/
111,https://humanitiesny.org/tag/prisons/
112,https://humanitiesny.org/category/hny-updates/
113,https://humanitiesny.org/interview-with-robert-fanuzzi-ph-d-creating-stronger-connections-within-communities-through-the-humanities/
114,https://humanitiesny.org/news/page/8/
115,https://humanitiesny.org/news/page/7/
116,https://humanitiesny.org/tag/suffrage/
117,https://humanitiesny.org/2019/01/
118,https://humanitiesny.org/tag/staten-island/
119,https://humanitiesny.org/puerto-rican-migration-to-new-york-then-and-now/
120,https://humanitiesny.org/2019/11/
121,https://humanitiesny.org/news/page/4/
122,https://humanitiesny.org/tag/james-baldwin/
123,https://t.co/lbXqufcm6M
124,https://humanitiesny.org/tag/lgbt/
125,https://humanitiesny.org/tag/immigration/
126,https://humanitiesny.org/amended-episode-5-the-submerged-half/
127,https://humanitiesny.org/tag/convening/
128,https://humanitiesny.org/2021/04/
129,https://humanitiesny.org/2020/02/
130,https://humanitiesny.org/2019/05/
131,https://humanitiesny.org/2015/07/
132,https://humanitiesny.org/tag/earth-day/
133,https://humanitiesny.org/history-from-below-an-interview-with-jen-hoyer-interference-archive/
134,https://humanitiesny.org/tag/public-programming/
135,https://humanitiesny.org/2018/03/
136,https://humanitiesny.org/post-incarceration-humanities-partnership-grant/
137,https://humanitiesny.org/2018/05/
138,https://humanitiesny.org/2019/09/
139,https://twitter.com/@humanitiesny/status/1369704962243112964
140,https://humanitiesny.org/tag/climate-change/
141,https://humanitiesny.org/tag/democracy/
142,https://humanitiesny.org/tag/exhibition/
143,https://humanitiesny.org/tag/education/
144,https://humanitiesny.org/tag/survey/
145,https://humanitiesny.org/2020/03/
146,https://humanitiesny.org/2017/09/
147,https://humanitiesny.org/amended-episode-1-myths-and-sentiments/
148,https://humanitiesny.org/interview-womens-suffrage-history-in-rochester/
149,https://humanitiesny.org/tag/brooklyn/
150,https://humanitiesny.org/tag/native-communities/
151,https://humanitiesny.org/2019/07/
152,https://humanitiesny.org/category/in-the-news/
153,https://humanitiesny.org/tag/nyc/
154,https://humanitiesny.org/2021/02/
155,https://humanitiesny.org/democracy-trust-today/
156,https://humanitiesny.org/tag/amended/
157,https://humanitiesny.org/amended-episode-2-any-woman/
158,https://humanitiesny.org/amended-bonus-episodetruth-is-of-no-color-from-and-nothing-less/
159,https://humanitiesny.org/tag/reading-list/
160,https://humanitiesny.org/cultural-field-survey-2019/
161,https://humanitiesny.org/category/press-release/
162,https://humanitiesny.org/31-humanities-grants-awarded-across-nys-for-public-programs-on-womens-suffrage-african-american-history-indigenous-issues-and-more/
163,https://humanitiesny.org/the-sing-sing-revolt/
164,https://humanitiesny.org/category/qa-series/
165,https://humanitiesny.org/tag/digital-humanities/
166,https://humanitiesny.org/tag/hurricane-maria/
167,https://humanitiesny.org/tag/historic-preservation/
168,https://humanitiesny.org/tag/slavery/
169,https://humanitiesny.org/preserving-lgbt-historic-sites/
170,https://humanitiesny.org/into-the-rainforest-with-community-conversations/
171,https://humanitiesny.org/2016/02/
172,https://humanitiesny.org/2019/04/
173,https://humanitiesny.org/tag/documentary/
174,https://humanitiesny.org/tag/grant-funded/
175,https://twitter.com/@humanitiesny/status/1371540550726344705
176,https://humanitiesny.org/2021/12/
177,https://humanitiesny.org/humanities-new-york-awards-1-million-in-cares-act-funding/
178,https://humanitiesny.org/humanities-behind-bars-educational-programs-for-incarcerated-youth-on-rikers-island/
179,https://humanitiesny.org/tag/prison/
180,https://humanitiesny.org/2021/06/
181,https://humanitiesny.org/devoted-alice-austen-and-stonewall-50/
182,https://humanitiesny.org/memory-history-and-community-reading-list/
183,https://humanitiesny.org/2016/11/
184,https://humanitiesny.org/how-black-suffragists-fought-for-the-right-to-vote-and-a-modicum-of-respect/
185,https://humanitiesny.org/tag/suffrage-centennial/
186,https://humanitiesny.org/tag/womens-history/
187,https://humanitiesny.org/category/reading-list/
188,https://humanitiesny.org/2021/09/
189,https://humanitiesny.org/2019/12/
190,https://humanitiesny.org/cultural-field-survey/
191,https://humanitiesny.org/reading-list-what-does-democracy-demand/
192,https://humanitiesny.org/2022/02/
193,https://humanitiesny.org/tag/vr/
194,https://humanitiesny.org/tag/african-american-history/
195,https://humanitiesny.org/humanities-programs-prevail/
196,https://humanitiesny.org/2020/07/
197,https://humanitiesny.org/tag/cultural-data/
198,https://humanitiesny.org/susan-b-anthony-to-wonder-woman-womens-suffrage-and-the-media-research-database-chronicles-right-to-vote-movement/
199,https://humanitiesny.org/tag/new-york-state-area-focus/
200,https://humanitiesny.org/2021/07/
201,https://humanitiesny.org/reckoning-with-the-history-of-enslavement/
202,https://humanitiesny.org/reading-list-us-history-or-american-myth/
203,https://twitter.com/@humanitiesny
204,https://humanitiesny.org/suffrage-and-beyond-19-books-for-womens-history-month/
205,https://humanitiesny.org/tag/hard-of-hearing/
206,https://humanitiesny.org/2019/06/
207,https://humanitiesny.org/news/page/9/
208,https://humanitiesny.org/the-genius-of-earth-day/
209,https://humanitiesny.org/2018/11/
210,https://humanitiesny.org/lampooning-political-women/
211,https://humanitiesny.org/tag/newburgh/
212,https://humanitiesny.org/2017/11/
213,https://humanitiesny.org/community-pandemic-perspectives/
214,https://humanitiesny.org/tag/archive/
215,https://humanitiesny.org/2020/04/
216,https://humanitiesny.org/2018/01/
217,https://humanitiesny.org/tag/book-group/
218,https://humanitiesny.org/tag/monuments/
219,https://humanitiesny.org/breaking-down-stereotypes-at-the-iroquois-indian-museum/
220,https://humanitiesny.org/making-mass-incarceration/
221,https://humanitiesny.org/2019/08/
222,https://humanitiesny.org/tag/buffalo/
223,https://humanitiesny.org/unceasing-militant-mary-church-terrell/
224,https://humanitiesny.org/zooming-while-deaf-a-participant-helps-hny-hack-zoom/
225,https://humanitiesny.org/tag/womens-suffrage/
226,https://humanitiesny.org/tag/coronavirus/
227,https://twitter.com/@humanitiesny/status/1371468881810833409
