,0
0,https://podacademy.org/podcasts/creating-an-economy-for-the-common-good/
1,https://podacademy.org/podcasts/ethnomusicology/
2,https://podacademy.org/podcasts/taking-the-fear-out-of-shakespeare/
3,http://podacademy.org/interviewee/william-horsley/
4,https://podacademy.org/podcasts/dylan-thomas/
5,https://podacademy.org/podcasts/living-apart-together/
6,http://podacademy.org/category/arts-culture/
7,https://podacademy.org/podcasts/star-spangled-banner/
8,http://podacademy.org/interviewee/michael-sassi/
9,https://podacademy.org/podcasts/the-earth-is-not-so-solid/
10,https://podacademy.org/2020/arts-culture/adventures-in-abyssinia-introducing-james-bruce-of-kinneard/
11,https://podacademy.org/podcasts/rainforest-music-of-the-bayaka/
12,http://podacademy.org/podcasts/local-journalism-local-news/
13,https://podacademy.org/podcasts/drones-the-law-and-ethics-of-drone-strikes/
14,https://podacademy.org/podcasts/chi-raq/
15,http://podacademy.org/about-pod-academy/jo-barratt/
16,https://podacademy.org/podcasts/arts-policy-new-approach/
17,https://podacademy.org/podcasts/seeing-is-believingthe-politics-of-the-visual/
18,https://podacademy.org/podcasts/otherworldly-politics/
19,https://podacademy.org/podcasts/doing-dna-wellcome-trust-sanger-institute/
20,https://podacademy.org/podcasts/the-library-of-cynicism-multi-sensory-art-exhibtion/
21,http://podacademy.org/about-us/rachael-jolley/
22,https://podacademy.org/podcasts/journalism-and-its-audiences/
23,https://podacademy.org/podcasts/mean-dyslexic/
24,https://podacademy.org/podcasts/past-smell-like/
25,http://podacademy.org/podcasts/left-populism/
26,http://podacademy.org/interviewee/andrew-cockburn/
27,https://podacademy.org/podcasts/hannah-arendt-truth-politics/
28,https://podacademy.org/podcasts/nervous-states/
29,https://podacademy.org/podcasts/dickens-on-france/
30,https://podacademy.org/podcasts/20-years/
31,https://neolacta.com/
32,https://podacademy.org/podcasts/death-print-digital-age/
33,https://podacademy.org/podcasts/598/
34,https://podacademy.org/podcasts/colours-memory-geoff-dyer/
35,http://podacademy.org/bookpods/drones-and-drone-warfare/
36,https://podacademy.org/podcasts/bitcoin-a-currency-outside-state-control/
37,https://podacademy.org/podcasts/volcanoes-artists-and-scientists-why-exploding-mountains-fascinate-us-all/
38,https://podacademy.org/podcasts/high-life-living-high/
39,http://podacademy.org/interviewee/kate-heathman/
40,https://podacademy.org/podcasts/iraq-war-was-it-worth-it/
41,https://podacademy.org/podcasts/nawalelsaadawi/
42,http://podacademy.org/1478-2/
43,https://podacademy.org/tag/civilisation-iv/
44,https://podacademy.org/podcasts/hostis-humani-generis-enemy-of-all-mankind/
45,https://podacademy.org/podcasts/america-still-death-penalty/
46,https://podacademy.org/podcasts/sustainability/
47,https://podacademy.org/podcasts/latin-america/
48,https://podacademy.org/podcasts/james-bruce-abyssinia/
49,https://podacademy.org/podcasts/digital-exposure/
50,http://podacademy.org/podcasts/covid-19-and-the-geopolitics-of-health/
51,https://podacademy.org/podcasts/noises-off/
52,https://podacademy.org/podcasts/economics-everyday-life-part-two/
53,https://podacademy.org/tag/aids/
54,https://podacademy.org/tag/herd-immunity/
55,https://podacademy.org/podcasts/staying-live/
56,https://podacademy.org/podcasts/digital-breadcrumbs-our-data-trail/
57,http://podacademy.org/podcasts/nhs-a-cold-covid-winter-ahead/
58,https://podacademy.org/2020/humanities-and-social-sciences/plagues-meet-can-learn-past-can-change-future/
59,https://podacademy.org/podcasts/local-journalism-local-news/
60,http://podacademy.org/interviewee/jeffrey-wasserstrom/
61,http://podacademy.org/bookpods/julian-assange-the-wikileaks-files/
62,https://podacademy.org/podcasts/beauty-and-the-beast/
63,https://podacademy.org/podcasts/urban-smellscapes/
64,http://podacademy.org/terms-conditions/
65,http://podacademy.org/interviewee/jessica-brodefrank/
66,https://podacademy.org/podcasts/nightwalking/
67,https://podacademy.org/podcasts/digital-tailspin-rules-for-the-internet-after-snowden/
68,https://podacademy.org/podcasts/forgotten-fiction/
69,http://podacademy.org/submit-audio/
70,https://podacademy.org/2018/humanities-and-social-sciences/13th-cinema-human-rights-advocacy-summer-school-apply-now/
71,http://podacademy.org/interviewee/lada-price/
72,http://podacademy.org/podcasts/masculinity/
73,https://podacademy.org/podcasts/fgm/
74,https://podacademy.org/podcasts/legal-judgments-rewritten-from-a-feminist-perspective/
75,http://podacademy.org/chris-berrow-2/
76,http://podacademy.org/isabella-grotto/
77,https://podacademy.org/podcasts/murder-women-eighteenth-century-london-paris/
78,https://podacademy.org/podcasts/horse-deaths-over-jumps/
79,https://podacademy.org/podcasts/leveson-inquiry-the-backstory/
80,https://podacademy.org/podcasts/vietnam-war-films/
81,https://podacademy.org/podcasts/does-christianity-still-make-sense/
82,https://podacademy.org/podcasts/dangerous-business-journalism-pandemic/
83,https://podacademy.org/podcasts/a-guide-to-the-syria-conflict/
84,http://podacademy.org/interviewee/jean-paul-marthoz/
85,https://podacademy.org/podcasts/the-politics-of-international-justice/
86,https://podacademy.org/podcasts/a-philosophy-of-everyday-things/
87,http://podacademy.org/interviewee/kirstin-mccudden/
88,https://podacademy.org/podcasts/gdp-wrong-numbers-game/
89,http://podacademy.org/rachel-jones/
90,https://podacademy.org/podcasts/academy-of-medical-sciences-spring-meeting-2013/
91,https://podacademy.org/podcasts/ethics-space-exploration/
92,https://podacademy.org/podcasts/stammering-latest-research-findings/
93,http://podacademy.org/bookpods/who-killed-cock-robin-british-folk-songs-of-crime-and-punishment/
94,https://podacademy.org/podcasts/putting-our-genome-to-work/
95,https://podacademy.org/podcasts/changing-contours-of-world-order/
96,https://podacademy.org/podcasts/hamlets-arab-journey-shakespeare-in-the-arab-world/
97,https://podacademy.org/podcasts/use-of-the-whip-in-horse-racing/
98,http://podacademy.org/category/science-and-environment/
99,https://podacademy.org/podcasts/nocturne/
100,https://podacademy.org/podcasts/journalism-first-draft-history/
101,http://podacademy.org/interviewee/beth-shapiro/
102,https://podacademy.org/podcasts/oh-i-see/
103,https://www.prolacta.com/en/products/
104,https://podacademy.org/podcasts/empire/
105,https://podacademy.org/podcasts/virtual-economies/
106,https://podacademy.org/tag/summer-school/
107,https://podacademy.org/podcasts/jean-luc-godard-a-portrait/
108,http://podacademy.org/jason-da-ponte/
109,http://podacademy.org/about-us/will-viney/
110,http://podacademy.org/bookpods/class/
111,http://podacademy.org/interviewer/craig-barfoot/
112,http://podacademy.org/bookpods/serengeti-rules-quest-discover-life-works-matters/
113,http://podacademy.org/dr-rod-stoneman/
114,https://podacademy.org/podcasts/the-sounds-of-space-hearing-the-end-of-the-universe/
115,http://podacademy.org/interviewer/dr-nina-power/
116,https://podacademy.org/2020/humanities-and-social-sciences/waiting-world-begin-letter-plague/
117,https://podacademy.org/tag/corona-virus/
118,http://podacademy.org/interviewer/rachael-jolley/
119,http://podacademy.org/interviewer/antonia-dalivalle/
120,http://podacademy.org/interviewer/tess-woodcraft/
121,https://podacademy.org/bookpods/class/
122,https://podacademy.org/podcasts/researchers-night/
123,https://podacademy.org/podcasts/maths-isnt-standing-still/
124,https://podacademy.org/tag/adovocacy/
125,http://podacademy.org/interviewee/sean-b-carroll/
126,https://podacademy.org/podcasts/mood-indigo-boris-vian-surrealist/
127,http://podacademy.org/victor-ponsford/
128,http://podacademy.org/podcasts/james-bruce-abyssinia/
129,https://podacademy.org/podcasts/for-love-not-money-what-keeps-circuses-on-the-road/
130,https://podacademy.org/podcasts/how-to-interpret-visual-art/
131,https://podacademy.org/podcasts/masculinity/
132,http://podacademy.org/maarten-van-schaik/
133,https://podacademy.org/podcasts/the-fracking-debate/
134,https://podacademy.org/tag/larry-kramer/
135,https://podacademy.org/podcasts/left-handedness/
136,https://podacademy.org/podcasts/left-populism/
137,http://podacademy.org/bookpods/page/2/
138,https://podacademy.org/podcasts/ritual/
139,http://podacademy.org/craig-barfoot/
140,https://podacademy.org/podcasts/social-life-money/
141,http://podacademy.org/lucy-bradley/
142,https://podacademy.org/podcasts/clinton-v-trump/
143,https://podacademy.org/podcasts/football-racism-beautiful-game/
144,https://podacademy.org/podcasts/cyber-sovereignty/
145,https://podacademy.org/podcasts/divided-nations-global-challenges-global-governance/
146,https://podacademy.org/podcasts/dont-say-gay/
147,https://podacademy.org/2020/science-and-environment/coronavirus-behaviour-can-help-control-spread-covid-19/
148,https://www.theguardian.com/world/2017/mar/28/cambodia-breast-milk-us-export-ambrosia-labs
149,https://podacademy.org/podcasts/nhs-a-cold-covid-winter-ahead/
150,https://podacademy.org/podcasts/greece-austerity-european-monetary-union/
151,https://podacademy.org/podcasts/education-in-vietnam-and-india-huge-differences-in-achievement/
152,https://podacademy.org/podcasts/what-does-it-mean-to-be-british/
153,http://podacademy.org/bookpods/adventures-in-human-being/
154,https://podacademy.org/podcasts/hip-hop-the-global-voice-of-revolution/
155,https://podacademy.org/podcasts/prison-does-it-work-can-it-work/
156,http://podacademy.org/podcasts/the-virtual-museum/
157,https://podacademy.org/podcasts/thinking-big-evolution-social-life-shaped-human-mind/
158,https://podacademy.org/tag/podcasts/
159,http://podacademy.org/christopher-daley/
160,https://podacademy.org/podcasts/gender-violence-in-south-asia/
161,https://podacademy.org/podcasts/religion-and-identity-the-young-atheists-handbook/
162,https://podacademy.org/podcasts/the-precariat-the-making-of-a-new-class/
163,https://podacademy.org/blog/page/2/
164,https://podacademy.org/podcasts/journalism-pandemic-challenges-innovation/
165,http://podacademy.org/interviewee/andy-lee-roth/
166,http://podacademy.org/frank-boyd/
167,mailto://thepod@podacademy.org
168,https://podacademy.org/podcasts/potential-difference-new-frontiers-in-electronic-engineering/
169,https://podacademy.org/podcasts/exoplanets/
170,https://podacademy.org/podcasts/christmas-truce-1914/
171,https://podacademy.org/podcasts/fixing-drugs/
172,http://podacademy.org/federica-di-lascio/
173,https://podacademy.org/podcasts/rise-rise-donald-trump/
174,https://podacademy.org/podcasts/hari-kunzru/
175,https://podacademy.org/get-involved-pod-academy/jobs/#respond
176,http://podacademy.org/interviewee/andrew-conway-morris/
177,https://podacademy.org/podcasts/marxism-and-the-oppression-of-women/
178,https://podacademy.org/podcasts/pat-murphy-filmmaker-my-influences/
179,https://podacademy.org/podcasts/return-to-the-bike-cemetery/
180,https://podacademy.org/podcasts/white-working-class-disengagement-from-politics/
181,https://podacademy.org/podcasts/translational-medicine/
182,https://podacademy.org/podcasts/philippines-global-workforce/
183,http://podacademy.org/interviewee/damian-radcliffe/
184,https://podacademy.org/podcasts/economics-everyday-life-part-one/
185,http://podacademy.org/podcasts/dangerous-business-journalism-pandemic/
186,https://podacademy.org/podcasts/obsessive-compulsive-disorder/
187,https://podacademy.org/podcasts/kolkata-slums/
188,https://podacademy.org/podcasts/sound-bites-u-turns-and-populism/
189,http://podacademy.org/ed-prosser/
190,https://podacademy.org/podcasts/girls-friendships-2/
191,https://podacademy.org/podcasts/lasting-impacts-comet-shoemaker-levy-9/
192,https://podacademy.org/podcasts/lies-damn-lies-statistics-fact-checking-new-journalism/
193,https://podacademy.org/podcasts/body-language-and-speed-dating/
194,https://podacademy.org/tag/covid-19/
195,https://podacademy.org/podcasts/thinking-dying-london-study-history/
196,https://podacademy.org/podcasts/schooling-and-flocking/
197,https://podacademy.org/podcasts/gaiman/
198,https://podacademy.org/podcasts/me-myself-i-changing-gay-male-identity/
199,https://podacademy.org/tag/cinema/
200,https://podacademy.org/podcasts/in-the-morgue/
201,https://podacademy.org/bookpods/who-killed-cock-robin-british-folk-songs-of-crime-and-punishment/
202,http://podacademy.org/interviewee/prof-maria-economou/
203,https://podacademy.org/podcasts/mental-health/
204,https://podacademy.org/podcasts/solar-power-burning-answer/
205,http://podacademy.org/claudia-smith/
206,https://podacademy.org/podcasts/urban-smellscapes-2/
207,https://podacademy.org/2019/humanities-and-social-sciences/3727/
208,https://podacademy.org/podcasts/anosmia-lives-without-sense-of-smell/
209,https://podacademy.org/podcasts/wilfred-bion/
210,https://podacademy.org/2019/science-and-environment/gathering-storm-can-video-games-make-us-aware-challenges-climate-change/
211,https://podacademy.org/podcasts/the-real-cost-of-ivf/
212,https://podacademy.org/podcasts/commercial-exploitation-research/
213,https://podacademy.org/podcasts/music-and-resistance/
214,https://podacademy.org/podcasts/lives-through-a-lens/
215,https://podacademy.org/podcasts/let-energy-efficient-light/
216,https://podacademy.org/podcasts/rwanda-genocide-1/
217,https://podacademy.org/podcasts/field-marshall-lord-roberts-vc/
218,http://podacademy.org/bookpods/how-to-clone-a-mammoth/
219,https://podacademy.org/podcasts/pits-perverts-revisited/
220,https://podacademy.org/podcasts/461/
221,https://podacademy.org/bookpods/serengeti-rules-quest-discover-life-works-matters/
222,http://podacademy.org/tania-prorokova/
223,https://podacademy.org/tag/climate-change/
224,http://podacademy.org/1836-2/
225,https://podacademy.org/podcasts/titanic-re-telling-the-story/
226,https://podacademy.org/podcasts/the-mars-rover-curiosity-and-life-elsewhere-in-the-universe/
227,https://podacademy.org/podcasts/slang-a-dench-podcast/
228,https://podacademy.org/podcasts/ecofeminism/
229,https://podacademy.org/podcasts/copyright-right-to-copy/
230,https://podacademy.org/podcasts/sugar-sugar-everywhere/
231,https://podacademy.org/podcasts/womens-legal-landmarks/
232,https://podacademy.org/podcasts/back-on-the-road-to-wigan-pier/
233,http://podacademy.org/interviewee/laura-silvia-battaglia/
234,https://podacademy.org/podcasts/alt-right-journey-mainstream-politics/
235,https://podacademy.org/podcasts/energy-transitions/
236,https://podacademy.org/podcasts/the-virtual-museum/
237,https://podacademy.org/podcasts/genome-biology/
238,https://podacademy.org/podcasts/cultural-hegemony-vs-linguistic-diversity-do-we-really-need-to-learn-foreign-languages/
239,http://podacademy.org/bookpods/deep-sniffa-history-of-poppers-and-queer-futures/
240,https://podacademy.org/podcasts/hpv-and-throat-cancer-michael-douglas-reveals-all/
241,https://podacademy.org/podcasts/au-pair-research/
242,https://podacademy.org/podcasts/rewriting-addiction/
243,https://podacademy.org/2021/uncategorized/fertility-it-is-now-possible-to-store-frozen-eggs-for-50-years/
244,https://podacademy.org/podcasts/biopic-contemporary-film-culture/
245,https://podacademy.org/podcasts/the-art-of-listening/
246,http://podacademy.org/interviewee/julian-assange/
247,https://podacademy.org/podcasts/change-ringing/
248,http://podacademy.org/interviewee/richard-sambrook/
249,http://podacademy.org/interviewer/dr-marina-prentoulis/
250,http://podacademy.org/lorna-acqua/
251,http://podacademy.org/radu-sporea
252,https://neokare.co.uk/about-us/
253,https://podacademy.org/2021/uncategorized/breast-milk-for-profit-companies-are-popping-up-around-the-globe-why-havent-governments-stepped-in/
254,https://podacademy.org/podcasts/what-makes-us-healthy/
255,https://podacademy.org/tag/teaching-and-learning/
256,https://podacademy.org/tag/frostpunk/
257,http://podacademy.org/interviewee/dr-gavin-francis/
258,https://podacademy.org/tag/pedagogy/
259,https://podacademy.org/podcasts/no-great-mind-ever-existed-without-a-touch-of-madnes/
260,https://podacademy.org/podcasts/ahdaf-soueif/
261,https://podacademy.org/podcasts/scientific-families/
262,http://podacademy.org/interviewer/zara-karschay/
263,https://podacademy.org/podcasts/uk-trade-mission-to-india/
264,http://podacademy.org/interviewee/michael-jennings/
265,https://podacademy.org/podcasts/divided-kingdom/
266,https://podacademy.org/bookpods/julian-assange-the-wikileaks-files/
267,https://podacademy.org/podcasts/future-readers-narrative-knowledge-anthropocene/
268,https://podacademy.org/podcasts/nawal-el-saadawi-writer-and-activist/
269,http://podacademy.org/podcasts/page/2/
270,http://podacademy.org/angela-phillips/
271,http://twitter.com/podacademy
272,https://podacademy.org/tag/preventing-a-pandemic/
273,https://podacademy.org/tag/human-rights/
274,https://podacademy.org/podcasts/20-years-genocide/
275,https://podacademy.org/bookpods/matching-markets-who-gets-what-and-why/
276,http://podacademy.org/lee-millam/
277,http://podacademy.org/interviewee/john-nery/
278,https://podacademy.org/podcasts/dag-hammarskjold-assassination-accident/
279,http://podacademy.org/get-involved-pod-academy/making-podcast-current-research/
280,https://pubmed.ncbi.nlm.nih.gov/26099440/
281,https://podacademy.org/podcasts/inequality-what-can-be-done/
282,http://podacademy.org/podcasts/journalism-pandemic-challenges-innovation/
283,https://podacademy.org/bookpods/deep-sniffa-history-of-poppers-and-queer-futures/
284,https://podacademy.org/podcasts/faulkner-networked-regional-indigenous-trans-pacific/
285,https://podacademy.org/podcasts/treating-autism-promises-perils-politics-pharmaceutical-intervention/
286,https://podacademy.org/podcasts/earthquake-seismology-japan/
287,http://londoninsider/
288,https://podacademy.org/podcasts/the-role-of-art-in-political-change/
289,http://podacademy.org/daniel-janes/
290,http://podacademy.org/interviewee/nawal-el-saadawi/
