,0
0,https://podcast.scouting.org/cubcast/2020/may-2020-program-planning-starts-now/
1,https://podcast.scouting.org/cubcast/2020/may-2020-program-planning-starts-now/
2,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-05_CC_May_PrgPlan.mp3
3,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-05_CC_May_PrgPlan.mp3
4,https://podcast.scouting.org/category/cubcast/feed/
5,https://podcast.scouting.org/subscribe-to-podcast/
6,https://podcast.scouting.org/cubcast/2020/may-2020-program-planning-starts-now/
7,https://podcast.scouting.org/cubcast/2020/april-2020-youth-protection-and-the-bsa/
8,https://podcast.scouting.org/cubcast/2020/april-2020-youth-protection-and-the-bsa/
9,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-04-CC_Apr_YP.mp3
10,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-04-CC_Apr_YP.mp3
11,https://podcast.scouting.org/category/cubcast/feed/
12,https://podcast.scouting.org/subscribe-to-podcast/
13,https://podcast.scouting.org/cubcast/2020/april-2020-youth-protection-and-the-bsa/
14,https://podcast.scouting.org/cubcast/2020/march-2020-bridging/
15,https://podcast.scouting.org/cubcast/2020/march-2020-bridging/
16,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-03_CC_Mar_Bridging.mp3
17,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-03_CC_Mar_Bridging.mp3
18,https://podcast.scouting.org/category/cubcast/feed/
19,https://podcast.scouting.org/subscribe-to-podcast/
20,https://podcast.scouting.org/cubcast/2020/march-2020-bridging/
21,https://podcast.scouting.org/cubcast/2020/february-2020-why-you-should-be-using-scoutbook/
22,https://podcast.scouting.org/cubcast/2020/february-2020-why-you-should-be-using-scoutbook/
23,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-02_CC_Feb_ScoutBook.mp3
24,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-02_CC_Feb_ScoutBook.mp3
25,https://podcast.scouting.org/category/cubcast/feed/
26,https://podcast.scouting.org/subscribe-to-podcast/
27,https://podcast.scouting.org/cubcast/2020/february-2020-why-you-should-be-using-scoutbook/
28,https://podcast.scouting.org/cubcast/2019/january-2020-what-is-a-cor-2/
29,https://podcast.scouting.org/cubcast/2019/january-2020-what-is-a-cor-2/
30,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-01_CC_Jan_COR.mp3
31,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2020-01_CC_Jan_COR.mp3
32,https://podcast.scouting.org/category/cubcast/feed/
33,https://podcast.scouting.org/subscribe-to-podcast/
34,https://podcast.scouting.org/cubcast/2019/january-2020-what-is-a-cor-2/
35,https://podcast.scouting.org/cubcast/2019/december-2019-religious-emblems/
36,https://podcast.scouting.org/cubcast/2019/december-2019-religious-emblems/
37,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-12_CC_Dec_ReligiousEmblems.mp3
38,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-12_CC_Dec_ReligiousEmblems.mp3
39,https://podcast.scouting.org/category/cubcast/feed/
40,https://podcast.scouting.org/subscribe-to-podcast/
41,https://podcast.scouting.org/cubcast/2019/december-2019-religious-emblems/
42,https://podcast.scouting.org/cubcast/2019/november-2019-pack-communication/
43,https://podcast.scouting.org/cubcast/2019/november-2019-pack-communication/
44,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-11_CC_Nov_Communication.mp3
45,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-11_CC_Nov_Communication.mp3
46,https://podcast.scouting.org/category/cubcast/feed/
47,https://podcast.scouting.org/subscribe-to-podcast/
48,https://podcast.scouting.org/cubcast/2019/november-2019-pack-communication/
49,https://podcast.scouting.org/cubcast/2019/october-2019-den-organization/
50,https://podcast.scouting.org/cubcast/2019/october-2019-den-organization/
51,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-10_CC_Oct_DenOrg_R.mp3
52,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-10_CC_Oct_DenOrg_R.mp3
53,https://podcast.scouting.org/category/cubcast/feed/
54,https://podcast.scouting.org/subscribe-to-podcast/
55,https://podcast.scouting.org/cubcast/2019/october-2019-den-organization/
56,https://podcast.scouting.org/cubcast/2019/september-2019-new-preview-adventures-begin/
57,https://podcast.scouting.org/cubcast/2019/september-2019-new-preview-adventures-begin/
58,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-09_CC_Sept_Prevu_Advts_R.mp3
59,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-09_CC_Sept_Prevu_Advts_R.mp3
60,https://podcast.scouting.org/category/cubcast/feed/
61,https://podcast.scouting.org/subscribe-to-podcast/
62,https://podcast.scouting.org/cubcast/2019/september-2019-new-preview-adventures-begin/
63,https://podcast.scouting.org/cubcast/2019/august-2019-parent-orientation/
64,https://podcast.scouting.org/cubcast/2019/august-2019-parent-orientation/
65,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-08_CC_Aug_ParentOrientation_R.mp3
66,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-08_CC_Aug_ParentOrientation_R.mp3
67,https://podcast.scouting.org/category/cubcast/feed/
68,https://podcast.scouting.org/subscribe-to-podcast/
69,https://podcast.scouting.org/cubcast/2019/august-2019-parent-orientation/
70,https://podcast.scouting.org/cubcast/2019/july-2019-welcoming-all-new-families/
71,https://podcast.scouting.org/cubcast/2019/july-2019-welcoming-all-new-families/
72,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-07_CC_July_Welcome.mp3
73,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-07_CC_July_Welcome.mp3
74,https://podcast.scouting.org/category/cubcast/feed/
75,https://podcast.scouting.org/subscribe-to-podcast/
76,https://podcast.scouting.org/cubcast/2019/july-2019-welcoming-all-new-families/
77,https://podcast.scouting.org/cubcast/2019/june-2019-preview-adventures/
78,https://podcast.scouting.org/cubcast/2019/june-2019-preview-adventures/
79,https://media.blubrry.com/cubcast___boy_scouts_of/p/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-06_June_PreviewAdv.mp3
80,https://media.blubrry.com/cubcast___boy_scouts_of/s/content.blubrry.com/cubcast___boy_scouts_of/cubcast-2019-06_June_PreviewAdv.mp3
81,https://podcast.scouting.org/category/cubcast/feed/
82,https://podcast.scouting.org/subscribe-to-podcast/
83,https://podcast.scouting.org/cubcast/2019/june-2019-preview-adventures/
84,https://podcast.scouting.org/scoutcast/2020/may-2020-2021-jamboree/
85,https://podcast.scouting.org/scoutcast/2020/may-2020-2021-jamboree/
86,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/SC_May_2020_Jamboree.mp3
87,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/SC_May_2020_Jamboree.mp3
88,https://podcast.scouting.org/category/scoutcast/feed/
89,https://podcast.scouting.org/subscribe-to-podcast/
90,https://podcast.scouting.org/scoutcast/2020/may-2020-2021-jamboree/
91,https://podcast.scouting.org/scoutcast/2020/april-2020-finding-your-adventure/
92,https://podcast.scouting.org/scoutcast/2020/april-2020-finding-your-adventure/
93,https://media.blubrry.com/bsas_scoutcast/p/content.blubrry.com/bsas_scoutcast/scoutcast-2020-04-SC_Apr_FindAdventure.mp3
94,https://media.blubrry.com/bsas_scoutcast/s/content.blubrry.com/bsas_scoutcast/scoutcast-2020-04-SC_Apr_FindAdventure.mp3
95,https://podcast.scouting.org/category/scoutcast/feed/
96,https://podcast.scouting.org/subscribe-to-podcast/
97,https://podcast.scouting.org/scoutcast/2020/april-2020-finding-your-adventure/
98,https://podcast.scouting.org/scoutcast/2020/march-2020-how-venturing-can-help-not-hurt-your-troop/
