,0
0,https://podcast.clearhq.org/e/professionals_social_media_history/
1,https://podcast.clearhq.org/e/wskeynote_unconscious_bias/
2,https://podcast.clearhq.org/e/current-research-interests-at-the-professional-standards-authority/
3,https://podcast.clearhq.org/e/the-role-of-regulators-in-health-workforce-data-collection/
4,https://podcast.clearhq.org/e/millennial/
5,https://podcast.clearhq.org/e/resilience_2021keynote/
6,https://podcast.clearhq.org/e/covid_reopening/
7,https://podcast.clearhq.org/e/military_credentialing/
8,https://podcast.clearhq.org/e/medical_marijuana/
9,https://podcast.clearhq.org/e/using_national_certification/
10,https://podcast.clearhq.org/e/cultural_safety_humility/
11,https://podcast.clearhq.org/e/recidivism_study/
12,https://podcast.clearhq.org/e/beyond_the_contract/
13,https://podcast.clearhq.org/e/criminal_history_licensure/
14,https://podcast.clearhq.org/e/difference_cbt/
15,https://podcast.clearhq.org/e/good_regulator/
16,https://podcast.clearhq.org/e/investigative_award_lessons/
17,https://podcast.clearhq.org/e/evaluating_pandemic_changes/
18,https://podcast.clearhq.org/e/uk_proposals_influence/
19,https://podcast.clearhq.org/e/behavioral_science/
20,https://podcast.clearhq.org/e/introducing-the-clear-podcast/
21,https://podcast.clearhq.org/e/questions_legislator_ask/
22,javascript:void(0)
23,https://podcast.clearhq.org/e/licensing-reform-efforts-professional-beauty-industry-perspective/
24,https://podcast.clearhq.org/e/aec20virtual/
25,https://podcast.clearhq.org/e/research_on_practice_hours/
26,https://podcast.clearhq.org/e/regulatory_modernization/
27,https://podcast.clearhq.org/e/ulr_survey/
28,https://podcast.clearhq.org/e/breaking-down-licensing-barriers-while-ensuring-public-protection-during-a-disaster/
29,https://podcast.clearhq.org/e/journey_new_regulator/
30,https://podcast.clearhq.org/e/cases_intentional_harm/
31,https://podcast.clearhq.org/e/arpl/
32,https://podcast.clearhq.org/e/public_members/
33,https://podcast.clearhq.org/e/sexual-abuse-by-regulated-professionals-achieving-zero-tolerance/
34,https://podcast.clearhq.org/e/research-on-the-publics-perception-of-continuing-competence/
35,https://podcast.clearhq.org/e/dei_survey/
36,https://podcast.clearhq.org/e/clear_unconscious_bias/
37,https://podcast.clearhq.org/e/conflicts_of_interest_smes/
38,https://podcast.clearhq.org/e/mental_health_investigation_process/
39,https://podcast.clearhq.org/e/the-scope-of-regulation-can-the-boundaries-be-stretched/
40,https://podcast.clearhq.org/e/content_developer/
41,https://podcast.clearhq.org/e/practitioner_substance_abuse/
42,https://podcast.clearhq.org/e/imlcc_mobility/
43,https://podcast.clearhq.org/e/finding-opportunities-to-tell-your-agency-story-marketing-tips/
44,https://podcast.clearhq.org/e/sanction_reference_points/
45,https://podcast.clearhq.org/e/investigator_insights/
46,https://podcast.clearhq.org/e/regulatory_structures/
47,https://podcast.clearhq.org/e/working_with_smes/
48,https://podcast.clearhq.org/e/investigative-excellence-award-winner-robert-herbert/
49,https://podcast.clearhq.org/e/who_collaborating_centre/
50,https://podcast.clearhq.org/e/covid19_resources/
51,https://podcast.clearhq.org/e/occupational-licensing-policy-learning-consortium/
52,https://podcast.clearhq.org/e/cer_retrospective/
53,https://podcast.clearhq.org/e/2021_regulatory_trends_review/
54,https://podcast.clearhq.org/e/investigative-excellence-group-award-winner/
